# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 1)   0.148 us    |  mutex_unlock();
 1)   0.047 us    |  __fsnotify_parent();
 1)   0.053 us    |  fsnotify();
 1)               |  __sb_end_write() {
 1)   0.044 us    |    percpu_up_read();
 1)   6.278 us    |  }
 1)               |  SyS_dup2() {
 1)   0.044 us    |    _raw_spin_lock();
 1)   0.048 us    |    expand_files();
 1)               |    do_dup2() {
 1)               |      filp_close() {
 1)   0.050 us    |        dnotify_flush();
 1)   0.044 us    |        locks_remove_posix();
 1)               |        fput() {
 1)               |          task_work_add() {
 1)   0.045 us    |            kick_process();
 1)   6.331 us    |          }
 1) + 12.657 us   |        }
 1) + 31.289 us   |      }
 1) + 37.556 us   |    }
 1) + 56.293 us   |  }
 1)               |  exit_to_usermode_loop() {
 1)               |    task_work_run() {
 1)   0.043 us    |      queued_spin_unlock_wait();
 1)               |      ____fput() {
 1)               |        __fput() {
 1)   0.045 us    |          _cond_resched();
 1)   0.047 us    |          __fsnotify_parent();
 1)   0.051 us    |          fsnotify();
 1)   0.048 us    |          locks_remove_file();
 1)   0.047 us    |          ima_file_free();
 1)               |          mutex_lock() {
 1)   0.048 us    |            _cond_resched();
 1)   6.291 us    |          }
 1)   0.046 us    |          mutex_unlock();
 1)               |          security_file_free() {
 1)               |            apparmor_file_free_security() {
 1)               |              kzfree() {
 1)   0.080 us    |                ksize();
 1)   0.076 us    |                kfree();
 1) + 12.637 us   |              }
 1) + 18.870 us   |            }
 1) + 25.079 us   |          }
 1)   0.044 us    |          module_put();
 1)   0.050 us    |          put_pid();
 1)   0.055 us    |          __mnt_drop_write();
 1)               |          call_rcu_sched() {
 1)   0.130 us    |            __call_rcu.constprop.74();
 1)   6.703 us    |          }
 1)   0.081 us    |          dput();
 1)               |          mntput() {
 1)   0.044 us    |            mntput_no_expire();
 1)   6.272 us    |          }
 1) ! 131.701 us  |        }
 1) ! 137.943 us  |      }
 1)   0.044 us    |      _cond_resched();
 1) ! 156.800 us  |    }
 1)   0.044 us    |    mem_cgroup_handle_over_high();
 1) ! 169.295 us  |  }
 1)               |  SyS_fcntl() {
 1)               |    __fdget_raw() {
 1)   0.064 us    |      __fget_light();
 1)   6.297 us    |    }
 1)   0.044 us    |    security_file_fcntl();
 1)   0.046 us    |    get_close_on_exec();
 1) + 24.961 us   |  }
 1)               |  SyS_close() {
 1)               |    __close_fd() {
 1)   0.046 us    |      _raw_spin_lock();
 1)               |      filp_close() {
 1)   0.057 us    |        dnotify_flush();
 1)   0.054 us    |        locks_remove_posix();
 1)   0.079 us    |        fput();
 1) + 19.318 us   |      }
 1) + 31.868 us   |    }
 1) + 38.109 us   |  }
 1)               |  SyS_newstat() {
 1)               |    vfs_fstatat() {
 1)               |      user_path_at_empty() {
 1)               |        getname_flags() {
 1)               |          kmem_cache_alloc() {
 1)   0.046 us    |            _cond_resched();
 1)   0.045 us    |            __memcg_kmem_get_cache();
 1)   0.043 us    |            __memcg_kmem_put_cache();
 1) + 18.761 us   |          }
 1) + 25.043 us   |        }
 1)               |        filename_lookup() {
 1)               |          path_lookupat() {
 1)   0.108 us    |            path_init();
 1)               |            link_path_walk() {
 1)               |              inode_permission() {
 1)               |                __inode_permission() {
 1)   0.052 us    |                  generic_permission();
 1)   0.048 us    |                  security_inode_permission();
 1) + 12.462 us   |                }
 1) + 18.714 us   |              }
 1) + 25.024 us   |            }
 1)   0.094 us    |            walk_component();
 1)               |            complete_walk() {
 1)               |              unlazy_walk() {
 1)               |                legitimize_mnt() {
 1)   0.053 us    |                  __legitimize_mnt();
 1)   6.246 us    |                }
 1) + 12.488 us   |              }
 1) + 18.750 us   |            }
 1)               |            terminate_walk() {
 1)   0.051 us    |              dput();
 1)   0.051 us    |              mntput();
 1) + 12.529 us   |            }
 1) + 87.509 us   |          }
 1)   0.048 us    |          restore_nameidata();
 1)               |          putname() {
 1)   0.087 us    |            kmem_cache_free();
 1)   6.332 us    |          }
 1) ! 112.561 us  |        }
 1) ! 150.085 us  |      }
 1)               |      vfs_getattr() {
 1)               |        security_inode_getattr() {
 1)               |          apparmor_inode_getattr() {
 1)   0.077 us    |            common_perm();
 1)   6.324 us    |          }
 1) + 12.576 us   |        }
 1)               |        vfs_getattr_nosec() {
 1)   0.051 us    |          generic_fillattr();
 1)   6.354 us    |        }
 1) + 31.454 us   |      }
 1)               |      path_put() {
 1)   0.092 us    |        dput();
 1)               |        mntput() {
 1)   0.045 us    |          mntput_no_expire();
 1)   6.280 us    |        }
