"function_name","freq","percentage"
"____fput",220,0.006
"___pmd_free_tlb",38,0.001
"___pte_free_tlb",89,0.003
"___pud_free_tlb",25,0.001
"___slab_alloc",16745,0.482
"__aa_fs_namespace_mkdir",1,0
"__acct_update_integrals",73,0.002
"__acpi_acquire_global_lock",8,0
"__acpi_device_uevent_modalias",67,0.002
"__acpi_get_phys_id",5,0
"__acpi_match_device",565,0.016
"__acpi_processor_start",1,0
"__acpi_release_global_lock",8,0
"__activate_page",499,0.014
"__add_pin_to_irq_node",16,0
"__add_to_page_cache_locked",34617,0.995
"__addrconf_sysctl_register",3,0
"__alloc_fd",585,0.017
"__alloc_pages_nodemask",37629,1.082
"__alloc_percpu",217,0.006
"__alloc_percpu_gfp",261,0.008
"__alloc_skb",21,0.001
"__alloc_workqueue_key",44,0.001
"__anon_vma_prepare",90,0.003
"__assign_resources_sorted",1,0
"__async_schedule",5,0
"__ata_eh_qc_complete",1,0
"__ata_ehi_push_desc",4,0
"__ata_port_freeze",4,0
"__ata_port_probe",2,0
"__ata_qc_complete",7,0
"__ata_scsi_find_dev",55,0.002
"__atime_needs_update",510,0.015
"__attach_match",10,0
"__bad_area_nosemaphore",2,0
"__bioset_create",12,0
"__blk_complete_request",47,0.001
"__blk_put_request",54,0.002
"__blk_queue_init_tags",2,0
"__blk_recalc_rq_segments",49,0.001
"__blk_run_queue",63,0.002
"__blkdev_get",1,0
"__blkdev_put",1,0
"__blocking_notifier_call_chain",386,0.011
"__calc_delta",162,0.005
"__call_rcu.constprop.71",1373,0.039
"__cancel_work_timer",11,0
"__change_page_attr_set_clr",1057,0.03
"__change_pid",189,0.005
"__check_heap_object",2655,0.076
"__check_object_size",3366,0.097
"__class_create",22,0.001
"__class_register",47,0.001
"__cleanup_sighand",63,0.002
"__clear_user",20,0.001
"__clockevents_update_freq",1,0
"__clocksource_register_scale",3,0
"__clocksource_select",4,0
"__clocksource_update_freq_scale",3,0
"__clocksource_watchdog_kthread",1,0
"__close_fd",572,0.016
"__compute_runnable_contrib.part.67",49,0.001
"__cond_resched_lock",3,0
"__cpa_flush_range",5,0
"__cpuhp_setup_state",25,0.001
"__cpuhp_state_add_instance",9,0
"__cpuidle_text_start",1,0
"__create_dir",1262,0.036
"__crypto_alg_lookup",36,0.001
"__crypto_alloc_tfm",4,0
"__crypto_lookup_template",5,0
"__crypto_register_alg",48,0.001
"__d_alloc",10006,0.288
"__d_drop",596,0.017
"__d_instantiate",9410,0.271
"__d_lookup",9615,0.276
"__d_lookup_done",858,0.025
"__d_lookup_rcu",8049,0.231
"__d_rehash",9972,0.287
"__debugfs_create_file",79,0.002
"__dec_node_page_state",292,0.008
"__dec_node_state",292,0.008
"__delayacct_blkio_end",18,0.001
"__delayacct_blkio_start",18,0.001
"__delayacct_tsk_init",112,0.003
"__delete_from_page_cache",1,0
"__dentry_kill",596,0.017
"__destroy_inode",1,0
"__dev_get_by_name",9,0
"__dev_pm_qos_add_request",12,0
"__dev_pm_qos_read_value",60,0.002
"__dev_printk",125,0.004
"__dev_sort_resources",13,0
"__devcgroup_check_permission",159,0.005
"__devcgroup_inode_permission",2,0
"__device_attach",186,0.005
"__device_attach_driver",160,0.005
"__device_links_no_driver",3,0
"__devinet_sysctl_register",3,0
"__disk_unblock_events",3,0
"__do_fault",43,0.001
"__do_page_fault",668,0.019
"__driver_attach",880,0.025
"__elv_add_request",60,0.002
"__enqueue_entity",1801,0.052
"__fd_install",575,0.017
"__fdget",1025,0.029
"__fdget_pos",4869,0.14
"__fdget_raw",430,0.012
"__fget",72,0.002
"__fget_light",6324,0.182
"__filemap_fdatawait_range",1,0
"__filemap_fdatawrite_range",1,0
"__find_governor.part.21",5,0
"__flush_itimer_signals",20,0.001
"__fput",592,0.017
"__free_irq",1,0
"__free_pages",12600,0.362
"__free_pages_ok",7,0
"__free_slab",1,0
"__free_vmap_area",3,0
"__freed_request",54,0.002
"__fsnotify_inode_delete",1,0
"__fsnotify_parent",8862,0.255
"__generic_file_write_iter",4579,0.132
"__get_free_pages",131,0.004
"__get_fs_type",1,0
"__get_super.part.12",2,0
"__get_user_pages",30,0.001
"__get_vm_area_node",76,0.002
"__get_vma_policy",292,0.008
"__gnttab_init",1,0
"__hrtimer_init",230,0.007
"__hw_addr_add_ex",1,0
"__hw_addr_create_ex",1,0
"__i8042_command.part.1",21,0.001
"__inc_node_page_state",34617,0.995
"__inc_node_state",34617,0.995
"__inc_zone_state",75256,2.164
"__init_ldsem",1,0
"__init_rwsem",18895,0.543
"__init_waitqueue_head",6091,0.175
"__inode_attach_wb",429,0.012
"__inode_permission",18060,0.519
"__inode_wait_for_writeback",1,0
"__insert_resource",10,0
"__insert_vmap_area",76,0.002
"__install_special_mapping",20,0.001
"__internal_add_timer",525,0.015
"__invalidate_device",1,0
"__ioremap_caller",14,0
"__ipv6_addr_type",10,0
"__irq_alloc_descs",2,0
"__irq_do_set_handler",2,0
"__irq_domain_activate_irq",22,0.001
"__irq_domain_alloc_irqs",2,0
"__irq_domain_deactivate_irq",2,0
"__irq_get_desc_lock",6,0
"__irq_put_desc_unlock",6,0
"__irq_set_handler",2,0
"__jump_label_update",2,0
"__kernel_text_address",96,0.003
"__kernfs_create_file",11611,0.334
"__kernfs_new_node",14563,0.419
"__kernfs_remove",626,0.018
"__key_instantiate_and_link",8,0
"__key_link",3,0
"__key_link_begin",3,0
"__key_link_end",3,0
"__kmalloc",14545,0.418
"__kmalloc_node",455,0.013
"__kmalloc_node_track_caller",111,0.003
"__kmalloc_reserve.isra.37",35,0.001
"__kmalloc_track_caller",2760,0.079
"__kmem_cache_alias",120,0.003
"__kmem_cache_create",46,0.001
"__kmem_cache_shrink",4,0
"__kthread_bind_mask",39,0.001
"__kthread_create_on_node",101,0.003
"__kthread_parkme",101,0.003
"__lapic_update_tsc_freq",1,0
"__legitimize_mnt",2688,0.077
"__list_lru_init",29,0.001
"__lock_task_sighand",112,0.003
"__lookup_hash",9120,0.262
"__lookup_mnt",12,0
"__lru_cache_add",34909,1.004
"__mark_inode_dirty",2610,0.075
"__mdiobus_register",1,0
"__mem_cgroup_threshold",273,0.008
"__memcg_init_list_lru_node",28,0.001
"__mix_pool_bytes",5,0
"__mmdrop",9,0
"__mnt_drop_write",628,0.018
"__mnt_drop_write_file",519,0.015
"__mnt_is_readonly.part.10",3435,0.099
"__mnt_want_write",2544,0.073
"__mnt_want_write_file",891,0.026
"__mod_node_page_state",45415,1.306
"__mod_zone_page_state",50778,1.46
"__module_address",86,0.002
"__module_get",95,0.003
"__module_text_address",83,0.002
"__mpol_dup",1,0
"__mpol_put",1,0
"__msecs_to_jiffies",542,0.016
"__mutex_init",1839,0.053
"__native_set_fixmap",72,0.002
"__nd_driver_register",2,0
"__netdev_update_features",1,0
"__netlink_change_ngroups",3,0
"__netlink_create",8,0
"__netlink_kernel_create",8,0
"__next_timer_interrupt",1,0
"__next_zones_zonelist",2,0
"__nlmsg_put",21,0.001
"__node_distance",2,0
"__note_gp_changes",737,0.021
"__page_cache_alloc",34617,0.995
"__page_set_anon_rmap",292,0.008
"__page_symlink",46,0.001
"__pageblock_pfn_to_page",1024,0.029
"__pagevec_lru_add_fn",34909,1.004
"__pagevec_release",1,0
"__pci_bus_assign_resources",1,0
"__pci_bus_find_cap_start",139,0.004
"__pci_bus_size_bridges",1,0
"__pci_complete_power_transition",7,0
"__pci_dev_reset",13,0
"__pci_enable_msix",4,0
"__pci_find_next_cap_ttl",58,0.002
"__pci_hp_register",28,0.001
"__pci_read_base",89,0.003
"__pci_register_driver",18,0.001
"__pci_request_region",7,0
"__pci_request_selected_regions",2,0
"__pci_set_master",7,0
"__pci_write_msi_msg",4,0
"__percpu_down_read",175,0.005
"__percpu_init_rwsem",43,0.001
"__percpu_up_read",175,0.005
"__platform_create_bundle",1,0
"__platform_driver_probe",2,0
"__platform_driver_register",31,0.001
"__pm_runtime_barrier",34,0.001
"__pm_runtime_idle",440,0.013
"__pm_runtime_resume",216,0.006
"__pm_runtime_set_status",41,0.001
"__pm_runtime_suspend",16,0
"__pm_runtime_use_autosuspend",6,0
"__pmd_alloc",38,0.001
"__pnp_add_device",5,0
"__printk_ratelimit",1,0
"__proc_create",260,0.007
"__ps2_command",6,0
"__pte_alloc",49,0.001
"__pte_alloc_kernel",2,0
"__pud_alloc",25,0.001
"__purge_vmap_area_lazy",10,0
"__put_anon_vma",90,0.003
"__put_cred",41,0.001
"__queue_delayed_work",129,0.004
"__queue_work",59,0.002
"__register_binfmt",3,0
"__register_chrdev",9,0
"__register_chrdev_region",28,0.001
"__register_nls",1,0
"__register_sysctl_paths",12,0
"__register_sysctl_table",43,0.001
"__release_region",11,0
"__release_resource",1,0
"__remove_hrtimer",1,0
"__remove_inode_hash",1,0
"__remove_shared_vm_struct",190,0.005
"__request_module",10,0
"__request_region",31,0.001
"__request_resource",115,0.003
"__rmqueue",37148,1.068
"__rpm_callback",25,0.001
"__rpm_get_callback",37,0.001
"__rtc_match",1,0
"__rtc_read_alarm",1,0
"__rtc_read_time",4,0
"__rtnl_link_register",2,0
"__rtnl_register",63,0.002
"__rtnl_unlock",25,0.001
"__sb_end_write",7404,0.213
"__sb_start_write",7404,0.213
"__sched_fork",113,0.003
"__sched_setscheduler",102,0.003
"__scsi_add_device",2,0
"__scsi_alloc_queue",2,0
"__scsi_error_from_host_byte",1,0
"__scsi_execute.isra.23",54,0.002
"__scsi_init_queue",2,0
"__scsi_iterate_devices",10,0
"__section_nr",32,0.001
"__send_control_msg",1,0
"__send_control_msg.part.27",2,0
"__send_signal",10,0
"__serio_register_driver",1,0
"__serio_register_port",2,0
"__set_cpus_allowed_ptr",110,0.003
"__set_page_dirty_no_writeback",38914,1.119
"__set_task_comm",10,0
"__setup_irq",14,0
"__slab_alloc",16745,0.482
"__smpboot_create_thread.part.3",2,0
"__sock_create",11,0
"__softirqentry_text_start",1214,0.035
"__spi_register_driver",5,0
"__split_huge_pmd",7,0
"__split_vma.isra.33",80,0.002
"__sprint_symbol",19,0.001
"__srcu_read_lock",68,0.002
"__srcu_read_unlock",68,0.002
"__start_timer",1,0
"__stop_cpus",2,0
"__synchronize_hardirq",3,0
"__sysrq_swap_key_ops",1,0
"__task_pid_nr_ns",83,0.002
"__task_rq_lock",111,0.003
"__tasklet_hi_schedule",4,0
"__tasklet_schedule",69,0.002
"__thermal_cooling_device_register",1,0
"__tick_nohz_idle_enter",1,0
"__tlb_remove_page_size",152,0.004
"__tty_alloc_driver",6,0
"__udelay",10,0
"__unwind_start",1,0
"__usb_detect_quirks",4,0
"__usermodehelper_set_disable_depth",1,0
"__vfs_getxattr",5289,0.152
"__vfs_read",300,0.009
"__vfs_write",4579,0.132
"__virt_addr_valid",3040,0.087
"__vm_enough_memory",110,0.003
"__vma_adjust",100,0.003
"__vma_link_file",270,0.008
"__vma_link_list",270,0.008
"__vma_link_rb",270,0.008
"__vma_rb_erase",90,0.003
"__vmalloc",5,0
"__vmalloc_node_range",62,0.002
"__vring_new_virtqueue",67,0.002
"__vunmap",2,0
"__wake_up",1182,0.034
"__wake_up_bit",3,0
"__wake_up_common",2057,0.059
"__wake_up_locked",812,0.023
"__wake_up_parent",63,0.002
"__wake_up_sync_key",63,0.002
"__warn",1,0
"__xlate_proc_name",261,0.008
"__zone_watermark_ok",911,0.026
"_copy_from_user",82,0.002
"_copy_to_user",501,0.014
"_crng_backtrack_protect",74,0.002
"_dev_info",68,0.002
"_do_fork",111,0.003
"_extract_crng",79,0.002
"_extract_entropy.constprop.45",1,0
"_install_special_mapping",20,0.001
"_lookup_address_cpa.isra.7",4844,0.139
"_mix_pool_bytes",241,0.007
"_pci_add_cap_save_buffer",26,0.001
"_raw_read_lock",391,0.011
"_raw_write_lock",384,0.011
"_raw_write_lock_bh",26,0.001
"_raw_write_lock_irq",250,0.007
"_raw_write_lock_irqsave",5,0
"_raw_write_unlock_irqrestore",5,0
"_regulator_do_enable",1,0
"_regulator_get_current_limit",1,0
"_regulator_get_voltage",1,0
"_rsa_verify.isra.4",1,0
"_sched_setscheduler",102,0.003
"aa_alloc_task_context",164,0.005
"aa_dup_task_context",164,0.005
"aa_info_message",2,0
"aa_path_name",10,0
"ac6_proc_init",1,0
"account_entity_dequeue",1555,0.045
"account_entity_enqueue",975,0.028
"account_idle_ticks",1,0
"account_kernel_stack",175,0.005
"acct_clear_integrals",112,0.003
"acct_collect",63,0.002
"acct_process",63,0.002
"acct_update_integrals",73,0.002
"acpiphp_add_context",38,0.001
"acpiphp_enumerate_slots",1,0
"acpiphp_get_adapter_status",28,0.001
"acpiphp_get_latch_status",28,0.001
"acpiphp_get_power_status",28,0.001
"acpiphp_register_hotplug_slot",28,0.001
"activate_page",499,0.014
"activate_task",881,0.025
"add_device_randomness",76,0.002
"add_disk_randomness",1,0
"add_inbuf",162,0.005
"add_mm_counter_fast.part.38",10,0
"add_nops",6,0
"add_partition",1,0
"add_port",1,0
"add_random_ready_callback",1,0
"add_softcursor",289,0.008
"add_sysfs_fw_map_entry",7,0
"add_sysfs_param.isra.8",201,0.006
"add_taint",1,0
"add_timer",112,0.003
"add_timer_on",1,0
"add_to_page_cache_lru",34617,0.995
"add_wait_queue",10,0
"addrconf_init_net",1,0
"addrconf_notify",1,0
"addrconf_sysctl_register",1,0
"addrconf_verify_rtnl",1,0
"addrconf_verify_work",1,0
"address_space_init_once",9378,0.27
"adjust_managed_page_count",12546,0.361
"aer_acpi_firmware_first",1,0
"agp_alloc_bridge",1,0
"agp_intel_probe",1,0
"agp_put_bridge",1,0
"aio_mount",1,0
"akcipher_register_instance",1,0
"alarmtimer_rtc_add_device",1,0
"align_vdso_addr",10,0
"alloc_anon_inode",2,0
"alloc_apic_chip_data",2,0
"alloc_buf.isra.29",160,0.005
"alloc_buffer_head",1,0
"alloc_chrdev_region",5,0
"alloc_desc",2,0
"alloc_disk",12,0
"alloc_disk_node",12,0
"alloc_inode",9342,0.269
"alloc_isa_irq_from_domain.isra.9",16,0
"alloc_mnt_ns",1,0
"alloc_msi_entry",2,0
"alloc_netdev_mqs",1,0
"alloc_page_buffers",1,0
"alloc_page_interleave",36643,1.054
"alloc_pages_current",37164,1.069
"alloc_pages_exact",67,0.002
"alloc_pages_vma",292,0.008
"alloc_pid",111,0.003
"alloc_request_struct",63,0.002
"alloc_resource",33,0.001
"alloc_sched_domains",1,0
"alloc_set_pte",4715,0.136
"alloc_tty_struct",1,0
"alloc_unbound_pwq",10,0
"alloc_vfsmnt",15,0
"alloc_vm_area",1,0
"alloc_vmap_area",76,0.002
"alloc_worker",35,0.001
"alloc_workqueue_attrs",30,0.001
"always_delete_dentry",576,0.017
"amd_cache_northbridges.part.3",1,0
"amd_iommu_pc_supported",1,0
"anon_inodefs_mount",1,0
"anon_vma_clone",80,0.002
"anon_vma_ctor",51,0.001
"anon_vma_interval_tree_insert",190,0.005
