"function_name","freq","percentage"
"aa_alloc_profile",12,0
"aa_alloc_task_context",10769,0.0128
"aa_audit",12,0
"aa_audit_file",45,1e-04
"aa_calc_hash",6,0
"aa_calc_profile_hash",12,0
"aa_capable",2,0
"aa_dfa_match",44,1e-04
"aa_dfa_unpack",12,0
"aa_dup_task_context",10769,0.0128
"aa_file_perm",5,0
"__aa_fs_ns_mkdir",1,0
"__aa_fs_profile_mkdir",12,0
"aa_fs_seq_open",24,0
"aa_fs_seq_show",24,0
"aa_getprocattr",1,0
"aa_get_task_profile",638,8e-04
"aa_info_message",2,0
"__aa_kvmalloc",78,1e-04
"aa_load_ent_free",12,0
"aa_may_manage_policy",6,0
"aa_ns_name",1,0
"aa_ns_visible",7,0
"aa_path_name",463,5e-04
"aa_path_perm",42,0
"aa_policy_init",12,0
"aa_ptrace",638,8e-04
"aa_replace_profiles",6,0
"aa_simple_write_to_buffer.isra.12.part.13",6,0
"aa_splitn_fqname",12,0
"aa_str_perms",44,1e-04
"__aa_transition_rlimits",1,0
"aa_unpack",6,0
"abort_creds",35,0
"ac6_proc_init",1,0
"__access_remote_vm",504,6e-04
"access_remote_vm",504,6e-04
"account_entity_dequeue",36723,0.0435
"account_entity_enqueue",18075,0.0214
"account_idle_ticks",35,0
"account_kernel_stack",1227,0.0015
"account_page_dirtied",74,1e-04
"acct_clear_integrals",687,8e-04
"acct_collect",541,6e-04
"acct_process",539,6e-04
"__acct_update_integrals",956,0.0011
"acct_update_integrals",956,0.0011
"__acpi_acquire_global_lock",8,0
"acpi_add_id",27,0
"acpi_add_pm_notifier",10,0
"acpi_add_pm_notifier.part.9",10,0
"acpi_add_single_object",60,1e-04
"acpi_ata_match",120,1e-04
"acpi_attach_data",60,1e-04
"acpi_bay_match",113,1e-04
"acpi_bind_one",414,5e-04
"acpi_bus_attach",59,1e-04
"acpi_bus_attach_private_data",1,0
"acpi_bus_can_wakeup",5,0
"acpi_bus_check_add",319,4e-04
"acpi_bus_get_device",115,1e-04
"acpi_bus_get_ejd",59,1e-04
"acpi_bus_get_status",63,1e-04
"acpi_bus_get_status_handle",59,1e-04
"acpi_bus_match",480,6e-04
"acpi_bus_register_driver",8,0
"acpi_bus_scan",1,0
"acpi_button_add",1,0
"acpi_check_address_range",1,0
"acpi_check_dsm",9,0
"acpi_check_region",1,0
"acpi_check_resource_conflict",1,0
"acpi_check_spi_i2c_slave",2,0
"acpi_clear_event",4,0
"acpi_companion_match",202,2e-04
"acpi_cppc_processor_probe",1,0
"acpi_cpufreq_cpu_init",1,0
"acpi_create_platform_device",1,0
"acpi_decode_space",4,0
"acpi_default_enumeration",1,0
"acpi_dev_filter_resource_type",7,0
"acpi_dev_free_resource_list",2,0
"acpi_dev_get_irqresource.part.6",5,0
"acpi_dev_get_resources",3,0
"acpi_device_add",60,1e-04
"acpi_device_dep_initialize",59,1e-04
"acpi_device_hid",2,0
"acpi_device_is_battery",32,0
"acpi_device_probe",1,0
"acpi_device_setup_files",60,1e-04
"acpi_device_uevent",525,6e-04
"__acpi_device_uevent_modalias",623,7e-04
"acpi_device_uevent_modalias",98,1e-04
"acpi_dev_ioresource_flags",11,0
"acpi_dev_memresource_flags",2,0
"acpi_dev_new_resource_entry",6,0
"acpi_dev_pm_attach",8,0
"acpi_dev_process_resource",11,0
"acpi_dev_resource_address_space",23,0
"acpi_dev_resource_ext_address_space",18,0
"acpi_dev_resource_interrupt",24,0
"acpi_dev_resource_io",14,0
"acpi_dev_resource_len_valid",13,0
"acpi_dev_resource_memory",7,0
"acpi_disable_event",1,0
"acpi_dma_configure",33,0
"acpi_dma_supported",1,0
"acpi_driver_match_device",405,5e-04
"acpi_ds_begin_method_execution",141,2e-04
"acpi_ds_build_internal_buffer_obj",33,0
"acpi_ds_build_internal_object",7184,0.0085
"acpi_ds_build_internal_package_obj",1808,0.0021
"acpi_ds_call_control_method",41,0
"acpi_ds_clear_implicit_return",34901,0.0413
"acpi_ds_clear_operands",38292,0.0453
"acpi_ds_create_buffer_field",12,0
"acpi_ds_create_node",16,0
"acpi_ds_create_operand",93093,0.1102
"acpi_ds_create_operands",38445,0.0455
"acpi_ds_create_walk_state",203,2e-04
"acpi_ds_delete_result_if_not_used",30745,0.0364
"acpi_ds_delete_walk_state",203,2e-04
"acpi_ds_do_implicit_return",40264,0.0477
"acpi_ds_eval_buffer_field_operands",12,0
"acpi_ds_eval_data_object_operands",1841,0.0022
"acpi_ds_eval_region_operands",9,0
"acpi_ds_evaluate_name_path",1882,0.0022
"acpi_ds_exec_begin_control_op",10068,0.0119
"acpi_ds_exec_begin_op",114450,0.1355
"acpi_ds_exec_end_control_op",10022,0.0119
"acpi_ds_exec_end_op",114404,0.1355
"acpi_ds_execute_arguments",31,0
"acpi_ds_get_buffer_arguments",73,1e-04
"acpi_ds_get_current_walk_state",244,3e-04
"acpi_ds_get_package_arguments",1835,0.0022
"acpi_ds_get_predicate_value",9478,0.0112
"acpi_ds_get_region_arguments",9,0
"acpi_ds_init_aml_walk",203,2e-04
"acpi_ds_init_buffer_field",12,0
"acpi_ds_init_callbacks",203,2e-04
"acpi_ds_init_object_from_op",82081,0.0972
"acpi_ds_is_result_used",30786,0.0365
"acpi_ds_load1_begin_op",77,1e-04
"acpi_ds_load1_end_op",77,1e-04
"acpi_ds_load2_begin_op",1948,0.0023
"acpi_ds_load2_end_op",29,0
"acpi_ds_method_data_delete_all",141,2e-04
"acpi_ds_method_data_get_node",85638,0.1014
"acpi_ds_method_data_get_value",29268,0.0347
"acpi_ds_method_data_init",203,2e-04
"acpi_ds_method_data_init_args",141,2e-04
"acpi_ds_method_error",7774,0.0092
"acpi_ds_obj_stack_pop",1931,0.0023
"acpi_ds_obj_stack_push",93093,0.1102
"acpi_ds_pop_walk_state",203,2e-04
"acpi_ds_push_walk_state",162,2e-04
"acpi_ds_resolve_operands",41,0
"acpi_ds_restart_control_method",41,0
"acpi_ds_result_pop",40193,0.0476
"acpi_ds_result_push",40256,0.0477
"acpi_ds_scope_stack_clear",203,2e-04
"acpi_ds_scope_stack_push",203,2e-04
"acpi_ds_store_object_to_local",7238,0.0086
"acpi_ds_terminate_control_method",172,2e-04
"acpi_ec_alloc",2,0
"acpi_ec_free",2,0
"acpi_enable_event",3,0
"acpi_ev_acquire_global_lock",8,0
"acpi_ev_add_gpe_reference",3,0
"acpi_ev_address_space_dispatch",60,1e-04
"acpi_evaluate_dsm",19,0
"acpi_evaluate_integer",820,0.001
"acpi_evaluate_object",949,0.0011
"acpi_evaluate_object_typed",61,1e-04
"acpi_ev_attach_region",2,0
"acpi_ev_create_gpe_block",1,0
"acpi_ev_detach_region",2,0
"acpi_ev_enable_gpe",3,0
"acpi_ev_execute_reg_method",13,0
"acpi_ev_execute_reg_methods",7,0
"acpi_ev_find_region_handler",1,0
"acpi_ev_get_gpe_xrupt_block",1,0
"acpi_ev_gpe_initialize",1,0
"acpi_ev_has_default_handler",4,0
"acpi_ev_init_global_lock_handler",1,0
"acpi_ev_initialize_events",1,0
"acpi_ev_initialize_gpe_block",1,0
"acpi_ev_initialize_op_regions",1,0
"acpi_ev_initialize_region",9,0
"acpi_ev_install_handler",225,3e-04
"acpi_ev_install_sci_handler",1,0
"acpi_ev_install_space_handler",3,0
"acpi_ev_install_xrupt_handlers",1,0
"acpi_ev_is_notify_object",12,0
"acpi_ev_low_get_gpe_info",3,0
"acpi_ev_match_gpe_method",3,0
"acpi_ev_pci_config_region_setup",2,0
"acpi_ev_reg_run",1497,0.0018
"acpi_ev_release_global_lock",8,0
"acpi_ev_system_memory_region_setup",1,0
"acpi_ev_update_gpe_enable_mask",3,0
"acpi_ev_walk_gpe_list",1,0
"acpi_ex_access_region",60,1e-04
"acpi_ex_acquire_global_lock",72,1e-04
"acpi_ex_acquire_mutex_object",8,0
"acpi_ex_allocate_name_string",118,1e-04
"acpi_ex_check_object_type",28818,0.0341
"acpi_ex_convert_to_buffer",12,0
"acpi_ex_convert_to_integer",49567,0.0587
"acpi_ex_create_region",9,0
"acpi_ex_do_logical_numeric_op",4,0
"acpi_ex_do_logical_op",9454,0.0112
"acpi_ex_do_math_op",10780,0.0128
"acpi_execute_simple_method",1,0
"acpi_ex_eisa_id_to_string",61,1e-04
"acpi_ex_enter_interpreter",1602,0.0019
"acpi_ex_exit_interpreter",1602,0.0019
"acpi_ex_extract_from_field",56,1e-04
"acpi_ex_field_datum_io",72,1e-04
"acpi_ex_get_name_string",118,1e-04
"acpi_ex_insert_into_field",16,0
"acpi_ex_integer_to_string",9,0
"acpi_ex_name_segment",118,1e-04
"acpi_ex_opcode_1A_0T_1R",1805,0.0021
"acpi_ex_opcode_1A_1T_1R",10845,0.0128
"acpi_ex_opcode_2A_0T_1R",9458,0.0112
"acpi_ex_opcode_2A_1T_1R",16184,0.0192
"acpi_ex_pci_config_space_handler",52,1e-04
"acpi_expose_nondev_subnodes",60,1e-04
"acpi_ex_prep_common_field_object",12,0
"acpi_ex_read_data_from_field",56,1e-04
"acpi_ex_release_all_mutexes",162,2e-04
"acpi_ex_release_global_lock",72,1e-04
"acpi_ex_release_mutex_object",8,0
