"function_name","freq","percentage"
"____fput",220,0
"___pmd_free_tlb",39,0
"___pte_free_tlb",88,0
"___pud_free_tlb",24,0
"___slab_alloc",15978,0.03
"__aa_fs_namespace_mkdir",1,0
"__acct_update_integrals",74,0
"__acpi_acquire_global_lock",8,0
"__acpi_device_uevent_modalias",69,0
"__acpi_get_phys_id",9,0
"__acpi_match_device",565,0.001
"__acpi_processor_start",1,0
"__acpi_release_global_lock",8,0
"__activate_page",498,0.001
"__add_pin_to_irq_node",16,0
"__add_to_page_cache_locked",34617,0.066
"__addrconf_sysctl_register",3,0
"__alloc_fd",585,0.001
"__alloc_pages_nodemask",37386,0.071
"__alloc_percpu",217,0
"__alloc_percpu_gfp",261,0
"__alloc_skb",21,0
"__alloc_workqueue_key",44,0
"__anon_vma_prepare",90,0
"__assign_resources_sorted",1,0
"__async_schedule",5,0
"__ata_eh_qc_complete",1,0
"__ata_ehi_push_desc",4,0
"__ata_port_freeze",4,0
"__ata_port_probe",2,0
"__ata_qc_complete",7,0
"__ata_scsi_find_dev",55,0
"__atime_needs_update",510,0.001
"__attach_match",10,0
"__bad_area_nosemaphore",2,0
"__bioset_create",12,0
"__blk_complete_request",47,0
"__blk_put_request",54,0
"__blk_queue_init_tags",2,0
"__blk_recalc_rq_segments",49,0
"__blk_run_queue",62,0
"__blkdev_get",1,0
"__blkdev_put",1,0
"__blocking_notifier_call_chain",391,0.001
"__calc_delta",168,0
"__call_rcu.constprop.71",1375,0.003
"__cancel_work_timer",11,0
"__change_page_attr_set_clr",1057,0.002
"__change_pid",192,0
"__check_heap_object",2655,0.005
"__check_object_size",3366,0.006
"__class_create",22,0
"__class_register",47,0
"__cleanup_sighand",64,0
"__clear_user",20,0
"__clockevents_update_freq",1,0
"__clocksource_register_scale",3,0
"__clocksource_select",5,0
"__clocksource_update_freq_scale",3,0
"__clocksource_watchdog_kthread",2,0
"__close_fd",572,0.001
"__compute_runnable_contrib.part.67",53,0
"__cond_resched_lock",3,0
"__cpa_flush_range",5,0
"__cpuhp_setup_state",25,0
"__cpuhp_state_add_instance",9,0
"__cpuidle_text_start",1,0
"__create_dir",1264,0.002
"__crypto_alg_lookup",40,0
"__crypto_alloc_tfm",4,0
"__crypto_lookup_template",5,0
"__crypto_register_alg",48,0
"__d_alloc",10024,0.019
"__d_drop",596,0.001
"__d_instantiate",9428,0.018
"__d_lookup",9634,0.018
"__d_lookup_done",858,0.002
"__d_lookup_rcu",8049,0.015
"__d_rehash",9990,0.019
"__debugfs_create_file",79,0
"__dec_node_page_state",292,0.001
"__dec_node_state",292,0.001
"__delayacct_blkio_end",15,0
"__delayacct_blkio_start",15,0
"__delayacct_tsk_init",115,0
"__delete_from_page_cache",1,0
"__dentry_kill",596,0.001
"__destroy_inode",1,0
"__dev_get_by_name",9,0
"__dev_pm_qos_add_request",12,0
"__dev_pm_qos_read_value",60,0
"__dev_printk",125,0
"__dev_sort_resources",13,0
"__devcgroup_check_permission",159,0
"__devcgroup_inode_permission",2,0
"__device_attach",190,0
"__device_attach_driver",160,0
"__device_links_no_driver",3,0
"__devinet_sysctl_register",3,0
"__disk_unblock_events",3,0
"__do_fault",43,0
"__do_page_fault",669,0.001
"__driver_attach",896,0.002
"__elv_add_request",59,0
"__enqueue_entity",1957,0.004
"__fd_install",575,0.001
"__fdget",1025,0.002
"__fdget_pos",4870,0.009
"__fdget_raw",430,0.001
"__fget",72,0
"__fget_light",6325,0.012
"__filemap_fdatawait_range",1,0
"__filemap_fdatawrite_range",1,0
"__find_governor.part.21",5,0
"__flush_itimer_signals",20,0
"__fput",592,0.001
"__free_irq",1,0
"__free_pages",12601,0.024
"__free_pages_ok",7,0
"__free_slab",1,0
"__free_vmap_area",3,0
"__freed_request",54,0
"__fsnotify_inode_delete",1,0
"__fsnotify_parent",8863,0.017
"__generic_file_write_iter",4580,0.009
"__get_free_pages",130,0
"__get_fs_type",1,0
"__get_super.part.12",2,0
"__get_user_pages",30,0
"__get_vm_area_node",82,0
"__get_vma_policy",292,0.001
"__gnttab_init",1,0
"__hrtimer_init",238,0
"__hw_addr_add_ex",1,0
"__hw_addr_create_ex",1,0
"__i8042_command.part.1",21,0
"__inc_node_page_state",34617,0.066
"__inc_node_state",34617,0.066
"__inc_zone_state",74762,0.142
"__init_ldsem",1,0
"__init_rwsem",18972,0.036
"__init_waitqueue_head",6133,0.012
"__inode_attach_wb",429,0.001
"__inode_permission",18078,0.034
"__inode_wait_for_writeback",1,0
"__insert_resource",10,0
"__insert_vmap_area",82,0
"__install_special_mapping",20,0
"__internal_add_timer",558,0.001
"__invalidate_device",1,0
"__ioremap_caller",14,0
"__ipv6_addr_type",10,0
"__irq_alloc_descs",2,0
"__irq_do_set_handler",2,0
"__irq_domain_activate_irq",22,0
"__irq_domain_alloc_irqs",2,0
"__irq_domain_deactivate_irq",2,0
"__irq_get_desc_lock",6,0
"__irq_put_desc_unlock",6,0
"__irq_set_handler",2,0
"__jump_label_update",2,0
"__kernel_text_address",288,0.001
"__kernfs_create_file",11665,0.022
"__kernfs_new_node",14633,0.028
"__kernfs_remove",626,0.001
"__key_instantiate_and_link",8,0
"__key_link",3,0
"__key_link_begin",3,0
"__key_link_end",3,0
"__kmalloc",14727,0.028
"__kmalloc_node",467,0.001
"__kmalloc_node_track_caller",111,0
"__kmalloc_reserve.isra.37",35,0
"__kmalloc_track_caller",2776,0.005
"__kmem_cache_alias",120,0
"__kmem_cache_create",46,0
"__kmem_cache_shrink",4,0
"__kthread_bind_mask",39,0
"__kthread_create_on_node",102,0
"__kthread_parkme",102,0
"__lapic_update_tsc_freq",1,0
"__legitimize_mnt",2688,0.005
"__list_lru_init",29,0
"__lock_task_sighand",115,0
"_raw_spin_unlock_irqrestore",4762487,9.031
"__lookup_hash",9138,0.017
"__lookup_mnt",12,0
"__lru_cache_add",34909,0.066
"__mark_inode_dirty",2588,0.005
"__mdiobus_register",1,0
"__mem_cgroup_threshold",273,0.001
"__memcg_init_list_lru_node",28,0
"__mix_pool_bytes",5,0
"__mmdrop",9,0
"__mnt_drop_write",629,0.001
"__mnt_drop_write_file",496,0.001
"__mnt_is_readonly.part.10",3413,0.006
"__mnt_want_write",2545,0.005
"__mnt_want_write_file",868,0.002
"__mod_node_page_state",45407,0.086
"__mod_zone_page_state",50391,0.096
"__module_address",252,0
"__module_get",95,0
"__module_text_address",249,0
"__mpol_dup",3,0
"__mpol_put",1,0
"__msecs_to_jiffies",553,0.001
"__mutex_init",1871,0.004
"__native_set_fixmap",72,0
"__nd_driver_register",2,0
"__netdev_update_features",1,0
"__netlink_change_ngroups",3,0
"__netlink_create",8,0
"__netlink_kernel_create",8,0
"__next_timer_interrupt",1,0
"__next_zones_zonelist",2,0
"__nlmsg_put",21,0
"__node_distance",2,0
"__note_gp_changes",743,0.001
"__page_cache_alloc",34617,0.066
"__page_set_anon_rmap",292,0.001
"__page_symlink",46,0
"__pageblock_pfn_to_page",1024,0.002
"__pagevec_lru_add_fn",34909,0.066
"__pagevec_release",1,0
"__pci_bus_assign_resources",1,0
"__pci_bus_find_cap_start",139,0
"__pci_bus_size_bridges",1,0
"__pci_complete_power_transition",7,0
"__pci_dev_reset",13,0
"__pci_enable_msix",4,0
"__pci_find_next_cap_ttl",58,0
"__pci_hp_register",28,0
"__pci_read_base",89,0
"__pci_register_driver",18,0
"__pci_request_region",7,0
"__pci_request_selected_regions",2,0
"__pci_set_master",7,0
"__pci_write_msi_msg",4,0
"__percpu_down_read",179,0
"__percpu_init_rwsem",43,0
"__percpu_up_read",179,0
"__platform_create_bundle",1,0
"__platform_driver_probe",2,0
"__platform_driver_register",31,0
"__pm_runtime_barrier",34,0
"__pm_runtime_idle",446,0.001
"__pm_runtime_resume",218,0
"__pm_runtime_set_status",41,0
"__pm_runtime_suspend",16,0
"__pm_runtime_use_autosuspend",6,0
"__pmd_alloc",39,0
"__pnp_add_device",5,0
"__printk_ratelimit",1,0
"__proc_create",260,0
"__ps2_command",6,0
"__pte_alloc",51,0
"__pte_alloc_kernel",2,0
"__pud_alloc",24,0
"__purge_vmap_area_lazy",10,0
"__put_anon_vma",90,0
"__put_cred",41,0
"__queue_delayed_work",162,0
"__queue_work",65,0
"__register_binfmt",3,0
"__register_chrdev",9,0
"__register_chrdev_region",28,0
"__register_nls",1,0
"__register_sysctl_paths",12,0
"__register_sysctl_table",45,0
"__release_region",11,0
"__release_resource",1,0
"__remove_hrtimer",1,0
"__remove_inode_hash",1,0
"__remove_shared_vm_struct",190,0
"__request_module",10,0
"__request_region",31,0
"__request_resource",115,0
"__rmqueue",36943,0.07
"__rpm_callback",25,0
"__rpm_get_callback",37,0
"__rtc_match",1,0
"__rtc_read_alarm",1,0
"__rtc_read_time",4,0
"__rtnl_link_register",2,0
"__rtnl_register",63,0
"__rtnl_unlock",25,0
"__sb_end_write",7406,0.014
"__sb_start_write",7406,0.014
"__sched_fork",118,0
"__sched_setscheduler",103,0
"__scsi_add_device",2,0
"__scsi_alloc_queue",2,0
"__scsi_error_from_host_byte",1,0
"__scsi_execute.isra.23",54,0
"__scsi_init_queue",2,0
"__scsi_iterate_devices",10,0
"__section_nr",32,0
"__send_control_msg",1,0
"__send_control_msg.part.27",2,0
"__send_signal",10,0
"__serio_register_driver",1,0
"__serio_register_port",2,0
"__set_cpus_allowed_ptr",112,0
"__set_page_dirty_no_writeback",38915,0.074
"__set_task_comm",10,0
"__setup_irq",14,0
"__slab_alloc",15978,0.03
"__slab_free",455280,0.863
"__smpboot_create_thread.part.3",2,0
"__sock_create",17,0
"__softirqentry_text_start",11920,0.023
"__spi_register_driver",5,0
"__split_huge_pmd",9,0
"__split_vma.isra.33",80,0
"__sprint_symbol",57,0
"__srcu_read_lock",68,0
"__srcu_read_unlock",68,0
"__start_timer",1,0
"__stop_cpus",2,0
"__synchronize_hardirq",3,0
"__sysrq_swap_key_ops",1,0
"__task_pid_nr_ns",84,0
"__task_rq_lock",112,0
"__tasklet_hi_schedule",4,0
"__tasklet_schedule",69,0
"__thermal_cooling_device_register",1,0
"__tick_nohz_idle_enter",1,0
"__tlb_remove_page_size",151,0
"__tty_alloc_driver",6,0
"__udelay",10,0
"__unwind_start",3,0
"__usb_detect_quirks",4,0
"__usermodehelper_set_disable_depth",1,0
"__vfs_getxattr",5290,0.01
"__vfs_read",300,0.001
"__vfs_write",4580,0.009
"__virt_addr_valid",3040,0.006
"__vm_enough_memory",110,0
"__vma_adjust",100,0
"__vma_link_file",270,0.001
"__vma_link_list",270,0.001
"__vma_link_rb",270,0.001
"__vma_rb_erase",90,0
"__vmalloc",5,0
"__vmalloc_node_range",68,0
"__vring_new_virtqueue",67,0
"__vunmap",2,0
"__wake_up",1186,0.002
"__wake_up_bit",3,0
"__wake_up_common",2068,0.004
"__wake_up_locked",818,0.002
"__wake_up_parent",64,0
"__wake_up_sync_key",64,0
"__warn",3,0
"__xlate_proc_name",261,0
"__zone_watermark_ok",520,0.001
"_cond_resched",2091946,3.967
"_copy_from_user",82,0
"_copy_to_user",501,0.001
"_crng_backtrack_protect",80,0
"_dev_info",68,0
"_do_fork",112,0
"_extract_crng",85,0
"_extract_entropy.constprop.45",1,0
"_install_special_mapping",20,0
"_lookup_address_cpa.isra.7",4844,0.009
"_mix_pool_bytes",243,0
"_pci_add_cap_save_buffer",26,0
"_raw_read_lock",391,0.001
"_raw_spin_lock",105667,0.2
"_raw_spin_lock_bh",50,0
"_raw_spin_lock_irq",39883,0.076
"_raw_spin_lock_irqsave",4763223,9.033
"_raw_spin_trylock",933,0.002
"_raw_write_lock",384,0.001
"_raw_write_lock_bh",39,0
"_raw_write_lock_irq",255,0
"_raw_write_lock_irqsave",5,0
"_raw_write_unlock_irqrestore",5,0
"_regulator_do_enable",1,0
"_regulator_get_current_limit",1,0
"_regulator_get_voltage",1,0
"_rsa_verify.isra.4",1,0
"_sched_setscheduler",103,0
"aa_alloc_task_context",167,0
"aa_dup_task_context",167,0
"aa_info_message",2,0
"aa_path_name",10,0
"ac6_proc_init",1,0
"account_entity_dequeue",1684,0.003
"account_entity_enqueue",981,0.002
"account_idle_ticks",1,0
"account_kernel_stack",179,0
"acct_clear_integrals",115,0
"acct_collect",64,0
"acct_process",64,0
"acct_update_integrals",74,0
"acpi_add_id",29,0
"acpi_add_pm_notifier",10,0
"acpi_add_single_object",61,0
"acpi_ata_match",120,0
"acpi_attach_data",60,0
"acpi_bay_match",115,0
"acpi_bind_one",349,0.001
"acpi_bus_attach",60,0
"acpi_bus_can_wakeup",5,0
"acpi_bus_check_add",332,0.001
"acpi_bus_get_device",508,0.001
"acpi_bus_get_ejd",60,0
"acpi_bus_get_status",64,0
"acpi_bus_get_status_handle",124,0
"acpi_bus_match",488,0.001
"acpi_bus_register_driver",8,0
"acpi_bus_scan",1,0
"acpi_button_add",1,0
"acpi_check_dsm",9,0
"acpi_check_spi_i2c_slave",2,0
"acpi_clear_event",4,0
"acpi_companion_match",80,0
"acpi_cppc_processor_probe",1,0
"acpi_cpufreq_cpu_init",1,0
"acpi_create_platform_device",1,0
"acpi_decode_space",4,0
"acpi_default_enumeration",1,0
"acpi_dev_filter_resource_type",7,0
"acpi_dev_free_resource_list",2,0
"acpi_dev_get_irqresource.part.5",5,0
"acpi_dev_get_resources",3,0
"acpi_dev_ioresource_flags",11,0
"acpi_dev_irq_flags",5,0
"acpi_dev_memresource_flags",2,0
"acpi_dev_new_resource_entry",6,0
"acpi_dev_pm_attach",5,0
"acpi_dev_process_resource",11,0
"acpi_dev_resource_address_space",23,0
"acpi_dev_resource_ext_address_space",19,0
"acpi_dev_resource_interrupt",24,0
"acpi_dev_resource_io",14,0
"acpi_dev_resource_len_valid",13,0
"acpi_dev_resource_memory",7,0
"acpi_device_add",61,0
"acpi_device_add_finalize",61,0
"acpi_device_dep_initialize",60,0
"acpi_device_hid",432,0.001
"acpi_device_is_battery",32,0
"acpi_device_is_present",60,0
"acpi_device_probe",1,0
"acpi_device_setup_files",61,0
"acpi_device_uevent",61,0
"acpi_device_uevent_modalias",8,0
"acpi_disable_event",1,0
"acpi_dma_configure",33,0
"acpi_dma_supported",1,0
"acpi_dock_match",115,0
"acpi_driver_match_device",263,0
"acpi_ds_begin_method_execution",132,0
"acpi_ds_build_internal_buffer_obj",32,0
"acpi_ds_build_internal_object",7180,0.014
"acpi_ds_build_internal_package_obj",1807,0.003
"acpi_ds_call_control_method",36,0
"acpi_ds_clear_implicit_return",34852,0.066
"acpi_ds_clear_operands",38261,0.073
"acpi_ds_create_buffer_field",12,0
"acpi_ds_create_node",16,0
"acpi_ds_create_operand",92978,0.176
"acpi_ds_create_operands",38404,0.073
"acpi_ds_create_walk_state",200,0
"acpi_ds_delete_result_if_not_used",30691,0.058
"acpi_ds_delete_walk_state",200,0
"acpi_ds_do_implicit_return",40205,0.076
"acpi_ds_eval_buffer_field_operands",12,0
"acpi_ds_eval_data_object_operands",1839,0.003
"acpi_ds_eval_region_operands",9,0
"acpi_ds_evaluate_name_path",1877,0.004
"acpi_ds_exec_begin_control_op",10052,0.019
"acpi_ds_exec_begin_op",114324,0.217
"acpi_ds_exec_end_control_op",10014,0.019
"acpi_ds_exec_end_op",114286,0.217
"acpi_ds_execute_arguments",34,0
"acpi_ds_get_buffer_arguments",81,0
"acpi_ds_get_current_walk_state",236,0
"acpi_ds_get_package_arguments",1808,0.003
