nested_level,boot_level,time
l1,very_early,14.673099
l1,console,0.746573
l1,security,28.441476
l1,early,2.362228
l1,pure,0.034075
l1,core,0.163542
l1,core_sync,0.014485
l1,postcore,0.077841
l1,postcore_sync,0.014088
l1,arch,0.067422
l1,arch_sync,0.013353
l1,subsys,80.773063
l1,subsys_sync,0.028911
l1,fs,9.594827
l1,fs_sync,87.982403
l1,rootfs,410.924117
l1,device,183.86048
l1,device_sync,0.066144
l1,late,12.350058
l1,late_sync,94.444019
l1,bootup,926.632204

l1,very_early,13.855475
l1,console,0.835399
l1,security,28.484109
l1,early,2.358519
l1,pure,0.035065
l1,core,0.156104
l1,core_sync,0.014232
l1,postcore,0.076542
l1,postcore_sync,0.014116
l1,arch,0.065707
l1,arch_sync,0.013373
l1,subsys,81.156199
l1,subsys_sync,0.027894
l1,fs,9.504056
l1,fs_sync,88.345343
l1,rootfs,411.660576
l1,device,160.482462
l1,device_sync,0.08858
l1,late,13.626436
l1,late_sync,96.870455
l1,bootup,907.670642

l1,very_early,13.847813
l1,console,0.875738
l1,security,28.390535
l1,early,2.356633
l1,pure,0.034401
l1,core,0.157191
l1,core_sync,0.014085
l1,postcore,0.078084
l1,postcore_sync,0.014112
l1,arch,0.066165
l1,arch_sync,0.013363
l1,subsys,80.81511
l1,subsys_sync,0.029094
l1,fs,9.612965
l1,fs_sync,87.872601
l1,rootfs,426.637252
l1,device,192.664806
l1,device_sync,0.060096
l1,late,12.801704
l1,late_sync,68.802502
l1,bootup,925.14425

l1,very_early,13.949484
l1,console,0.820173
l1,security,28.526583
l1,early,2.392033
l1,pure,0.038288
l1,core,0.149748
l1,core_sync,0.013748
l1,postcore,0.080145
l1,postcore_sync,0.013375
l1,arch,0.063852
l1,arch_sync,0.013746
l1,subsys,81.255624
l1,subsys_sync,0.028258
l1,fs,9.768533
l1,fs_sync,89.659946
l1,rootfs,422.032102
l1,device,168.925823
l1,device_sync,0.181139
l1,late,13.586281
l1,late_sync,85.418052
l1,bootup,916.916933

l2,very_early,15.920304
l2,console,0.829073
l2,security,36.528079
l2,early,3.221423
l2,pure,0.035109
l2,core,0.385246
l2,core_sync,0.014386
l2,postcore,0.081734
l2,postcore_sync,0.013462
l2,arch,0.291841
l2,arch_sync,0.013764
l2,subsys,110.037905
l2,subsys_sync,0.031083
l2,fs,10.726841
l2,fs_sync,95.866849
l2,rootfs,427.281824
l2,device,168.460808
l2,device_sync,0.169261
l2,late,16.396401
l2,late_sync,73.565199
l2,bootup,959.870592

l2,very_early,14.412521
l2,console,0.770977
l2,security,35.251663
l2,early,3.053291
l2,pure,0.03405
l2,core,0.359494
l2,core_sync,0.014164
l2,postcore,0.080894
l2,postcore_sync,0.013778
l2,arch,0.251489
l2,arch_sync,0.016929
l2,subsys,105.341002
l2,subsys_sync,0.030452
l2,fs,10.309401
l2,fs_sync,90.778789
l2,rootfs,431.939576
l2,device,222.45284
l2,device_sync,0.169204
l2,late,39.203794
l2,late_sync,24.735253
l2,bootup,979.219561

l2,very_early,14.406673
l2,console,0.802004
l2,security,35.311121
l2,early,3.209728
l2,pure,0.034636
l2,core,0.367259
l2,core_sync,0.014196
l2,postcore,0.08366
l2,postcore_sync,0.013912
l2,arch,0.288727
l2,arch_sync,0.013746
l2,subsys,103.526007
l2,subsys_sync,0.028803
l2,fs,10.091947
l2,fs_sync,104.095918
l2,rootfs,425.839996
l2,device,171.349667
l2,device_sync,0.205879
l2,late,16.668218
l2,late_sync,74.422647
l2,bootup,960.774744

l2,very_early,14.424988
l2,console,0.778916
l2,security,35.216213
l2,early,3.179487
l2,pure,0.039058
l2,core,0.363922
l2,core_sync,0.014969
l2,postcore,0.101562
l2,postcore_sync,0.014116
l2,arch,0.29194
l2,arch_sync,0.014335
l2,subsys,114.656647
l2,subsys_sync,0.030393
l2,fs,10.359433
l2,fs_sync,91.168193
l2,rootfs,421.861211
l2,device,171.021748
l2,device_sync,0.161108
l2,late,16.290927
l2,late_sync,81.2887
l2,bootup,961.277866

l2,very_early,14.309501
l2,console,0.78336
l2,security,35.065167
l2,early,3.211593
l2,pure,0.034604
l2,core,0.351295
l2,core_sync,0.014753
l2,postcore,0.082286
l2,postcore_sync,0.013912
l2,arch,0.23665
l2,arch_sync,0.014121
l2,subsys,102.667917
l2,subsys_sync,0.030255
l2,fs,10.351574
l2,fs_sync,96.927997
l2,rootfs,430.756167
l2,device,166.848927
l2,device_sync,0.153486
l2,late,16.536254
l2,late_sync,84.000843
l2,bootup,962.390662

l3,very_early,198.661607
l3,console,2.449204
l3,security,324.026914
l3,early,28.988786
l3,pure,0.040503
l3,core,6.102874
l3,core_sync,0.765634
l3,postcore,0.159346
l3,postcore_sync,0.02247
l3,arch,5.869352
l3,arch_sync,0.543397
l3,subsys,905.256647
l3,subsys_sync,0.031279
l3,fs,30.679998
l3,fs_sync,167.551893
l3,rootfs,686.606463
l3,device,16172.010919
l3,device_sync,2.707035
l3,late,2167.181683
l3,late_sync,803.266867
l3,bootup,21502.922871
