duration,hypercalls
300,1
600,1
900,1
1200,2
1500,3
1800,5
2100,1
2400,6
2700,7
3000,7
3300,9
3600,9
3900,10
4200,11
4500,11
4800,12
5100,13
5400,13
5700,14
6000,15
6300,16
6600,17
6900,17
7200,18
7500,19
7800,19
8100,20
8400,21
8700,22
9000,23
9300,23
9600,24
9900,25
10200,25
10500,26
10800,26
11100,28
11400,29
11700,29
12000,30
12300,31
12600,32
12900,32
13200,33
13500,34
13800,34
14100,35
14400,36
14700,37
15000,38
15300,38
15600,39
15900,41
16200,40
16500,41
16800,42
17100,43
17400,43
17700,45
18000,45
18300,45
18600,46
18900,47
19200,47
19500,48
19800,49
20100,50
20400,51
20700,51
21000,52
21300,53
21600,54
21900,55
22200,55
22500,56
22800,57
23100,57
23400,58
23700,59
24000,60
24300,61
24600,61
24900,62
25200,64
25500,63
25800,64
26100,65
26400,67
26700,66
27000,67
27300,68
27600,69
27900,69
28200,70
28500,70
28800,72
29100,72
29400,73
29700,74
30000,75
30300,75
30600,75
30900,77
31200,78
31500,80
31800,64
32100,79
32400,80
32700,81
33000,84
33300,81
33600,84
33900,84
34200,87
34500,88
34800,89
35100,89
35400,90
35700,91
36000,92
36300,93
36600,93
36900,94
37200,95
37500,96
37800,96
38100,97
38400,98
38700,99
39000,99
39300,100
39600,101
39900,102
40200,102
40500,98
40800,104
41100,105
41400,105
41700,106
42000,107
42300,107
42600,108
42900,108
43200,110
43500,111
43800,111
44100,112
44400,113
44700,114
45000,115
45300,115
45600,116
45900,116
46200,118
46500,118
46800,119
47100,120
47400,121
47700,122
48000,122
48300,123
48600,124
48900,124
49200,125
49500,126
49800,126
50100,128
50400,128
50700,129
51000,130
51300,131
51600,132
51900,132
52200,133
52500,130
52800,134
53100,135
53400,136
53700,137
54000,138
54300,138
54600,139
54900,100
55200,135
55500,137
55800,139
56100,139
56400,140
56700,140
57000,134
57300,141
57600,147
57900,147
58200,148
58500,148
58800,145
59100,146
59400,147
59700,147
60000,149
60300,149
60600,150
60900,155
61200,156
61500,156
61800,157
62100,158
62400,159
62700,160
63000,159
63300,161
63600,162
63900,162
64200,163
64500,164
64800,165
65100,166
65400,166
65700,167
66000,167
66300,169
66600,169
66900,170
67200,171
67500,172
67800,173
68100,170
68400,174
68700,174
69000,176
69300,176
69600,177
69900,178
70200,179
70500,179
70800,180
71100,180
71400,182
71700,182
72000,183
72300,184
72600,184
72900,185
73200,186
73500,187
73800,188
74100,188
74400,189
74700,190
75000,191
75300,192
75600,192
75900,193
76200,194
76500,195
76800,195
77100,195
77400,195
77700,198
78000,191
78300,199
78600,200
78900,201
79200,201
79500,202
79800,203
80100,204
80400,205
80700,205
81000,205
81300,198
81600,208
81900,208
82200,209
82500,210
82800,211
83100,211
83400,212
83700,207
84000,214
84300,214
84600,215
84900,216
85200,216
85500,212
85800,213
86100,214
86400,220
86700,221
87000,220
87300,222
87600,223
87900,224
88200,224
88500,225
88800,226
89100,224
89400,228
89700,228
90000,225
90300,229
90600,231
90900,232
91200,231
91500,233
91800,234
92100,235
92400,235
92700,234
93000,237
93300,238
93600,238
93900,239
94200,238
94500,241
94800,242
95100,242
95400,243
95700,243
96000,244
96300,245
96600,245
96900,247
97200,223
97500,248
97800,249
98100,250
98400,250
98700,251
99000,252
99300,240
99600,246
99900,253
100200,238
100500,256
100800,255
101100,257
101400,258
101700,259
102000,259
102300,260
102600,257
102900,262
103200,263
103500,262
103800,264
104100,264
104400,266
104700,264
105000,265
105300,268
105600,267
105900,269
106200,270
106500,271
106800,272
107100,271
107400,273
107700,274
108000,275
108300,275
108600,276
108900,277
109200,278
109500,279
109800,279
110100,280
110400,280
110700,282
111000,271
111300,274
111600,272
111900,275
112200,276
112500,278
112800,279
113100,280
113400,279
113700,282
114000,283
114300,291
114600,291
114900,292
115200,293
115500,294
115800,294
116100,295
116400,296
116700,293
117000,297
117300,297
117600,299
117900,300
118200,300
118500,300
118800,302
119100,303
119400,304
119700,304
120000,305
120300,306
120600,302
120900,307
121200,307
121500,309
121800,310
122100,303
122400,311
122700,312
123000,313
123300,314
123600,314
123900,315
124200,313
124500,306
124800,317
125100,318
125400,319
125700,318
126000,316
126300,320
126600,320
126900,323
127200,323
127500,323
127800,325
128100,325
128400,325
128700,327
129000,328
129300,328
129600,329
129900,330
130200,331
130500,332
130800,333
131100,332
131400,334
131700,334
132000,325
