duration,hypercalls
300,1
600,2
900,2
1200,3
1500,4
1800,5
2100,5
2400,6
2700,7
3000,7
3300,8
3600,9
3900,9
4200,10
4500,10
4800,11
5100,12
5400,13
5700,13
6000,14
6300,15
6600,15
6900,16
7200,17
7500,17
7800,18
8100,19
8400,19
8700,20
9000,21
9300,21
9600,22
9900,23
10200,23
10500,24
10800,25
11100,25
11400,26
11700,27
12000,20
12300,28
12600,29
12900,29
13200,30
13500,31
13800,31
14100,32
14400,33
14700,33
15000,34
15300,35
15600,35
15900,36
16200,37
16500,37
16800,38
17100,39
17400,39
17700,40
18000,41
18300,41
18600,42
18900,43
19200,43
19500,44
19800,45
20100,45
20400,46
20700,47
21000,47
21300,48
21600,49
21900,49
22200,50
22500,51
22800,51
23100,52
23400,53
23700,53
24000,54
24300,55
24600,55
24900,56
25200,57
25500,57
25800,58
26100,59
26400,59
26700,60
27000,61
27300,61
27600,62
27900,63
28200,63
28500,64
28800,65
29100,65
29400,66
29700,67
30000,67
30300,68
30600,69
30900,69
31200,70
31500,71
31800,71
32100,72
32400,73
32700,73
33000,74
33300,75
33600,75
33900,76
34200,77
34500,77
34800,78
35100,79
35400,72
35700,80
36000,49
36300,81
36600,82
36900,83
37200,83
37500,84
37800,85
38100,85
38400,86
38700,87
39000,87
39300,88
39600,89
39900,89
40200,90
40500,91
40800,91
41100,92
41400,60
41700,85
42000,86
42300,87
42600,87
42900,88
43200,88
43500,89
43800,90
44100,90
44400,91
44700,91
45000,92
45300,93
45600,93
45900,94
46200,94
46500,95
46800,96
47100,96
47400,72
47700,98
48000,98
48300,99
48600,99
48900,100
49200,101
49500,101
49800,102
50100,103
50400,103
50700,104
51000,104
51300,105
51600,106
51900,106
52200,107
52500,107
52800,108
53100,109
53400,98
53700,110
54000,110
54300,111
54600,112
54900,112
55200,113
55500,113
55800,114
56100,115
56400,115
56700,116
57000,117
57300,117
57600,118
57900,118
58200,119
58500,120
58800,120
59100,121
59400,121
59700,122
60000,123
60300,123
60600,119
60900,124
61200,125
61500,126
61800,126
62100,127
62400,128
62700,128
63000,129
63300,129
63600,130
63900,131
64200,131
64500,132
64800,132
65100,133
65400,134
65700,134
66000,135
66300,135
66600,136
