duration, hypercalls
10000,20
20000,42
30000,62
40000,83
50000,103
60000,124
70000,145
80000,165
90000,186
100000,206
110000,191
120000,248
130000,268
140000,289
150000,309
160000,330
170000,351
180000,371
190000,392
200000,400
210000,406
220000,452
230000,443
240000,448
250000,467
260000,486
270000,504
280000,523
290000,542
300000,543
310000,580
320000,599
330000,618
340000,637
350000,650
360000,674
370000,693
380000,711
390000,693
400000,668
410000,663
420000,703
430000,720
440000,737
450000,750
460000,770
470000,787
480000,804
490000,820
500000,826
510000,854
520000,870
530000,884
540000,904
550000,921
560000,937
570000,947
580000,971
590000,988
600000,1000
610000,1021
620000,1038
630000,1055
640000,1064
650000,1088
660000,1105
670000,1117
680000,1138
690000,1155
700000,1165
710000,1188
720000,1201
730000,1222
740000,1239
750000,1255
760000,1265
770000,1289
780000,1300
790000,1320
800000,1337
810000,1451
820000,1582
830000,1597
840000,1620
850000,1632
860000,1658
870000,1702
880000,1929
890000,1953
900000,1963
910000,1997
920000,2005
930000,2275
940000,2292
950000,2329
960000,2351
970000,2378
980000,2412
990000,2490
1000000,2511
1010000,2540
1020000,2558
1030000,2590
1040000,2611
1050000,2640
1060000,2602
1070000,2691
1080000,2710
1090000,2741
1100000,2754
1110000,2791
1120000,2782
1130000,2843
1140000,2849
1150000,2865
1160000,2902
1170000,2914
1180000,2938
1190000,2993
1200000,3008
1210000,3043
1220000,3054
1230000,3089
1240000,3105
1250000,3123
1260000,3158
1270000,3174
1280000,3203
1290000,3223
1300000,3251
1310000,3287
1320000,3321
1330000,3338
1340000,3359
1350000,3381
1360000,3307
1370000,3420
1380000,3456
1390000,3459
1400000,3489
1410000,3547
1420000,3564
1430000,3580
1440000,3607
1450000,3624
1460000,3661
1470000,3689
1480000,3715
1490000,3747
1500000,3764
1510000,3789
1520000,3824
1530000,3838
1540000,3860
1550000,3883
1560000,3910
1570000,3948
1580000,3966
1590000,3985
1600000,4010
1610000,4024
1620000,4076
1630000,4092
1640000,4119
1650000,4142
1660000,4173
1670000,4202
1680000,4220
1690000,4230
1700000,4261
1710000,4299
1720000,4321
1730000,4349
1740000,4378
1750000,4397
1760000,4425
1770000,4446
1780000,4455
1790000,4477
1800000,4504
1810000,4545
1820000,4575
1830000,4604
1840000,4618
1850000,4654
1860000,4673
1870000,4682
1880000,4715
1890000,4720
1900000,4753
1910000,4800
1920000,4824
1930000,4852
1940000,4866
1950000,4903
1960000,4925
1970000,4952
1980000,4974
1990000,5002
2000000,5012
2010000,4886
2020000,5036
2030000,5099
2040000,5109
2050000,5147
2060000,5159
2070000,5204
2080000,5226
2090000,5234
2100000,5269
2110000,5305
2120000,5326
2130000,5349
2140000,5376
2150000,5405
2160000,5414
2170000,5406
2180000,5482
2190000,5503
2200000,5514
2210000,5530
2220000,5566
2230000,5593
2240000,5633
2250000,5649
2260000,5679
2270000,5687
2280000,5728
2290000,5756
2300000,5780
2310000,5789
2320000,5819
2330000,5853
2340000,5869
2350000,5881
2360000,5931
2370000,5954
2380000,5959
2390000,5999
2400000,6029
2410000,6056
2420000,6079
2430000,6100
2440000,6126
2450000,6127
2460000,6182
2470000,6201
2480000,6229
2490000,6258
2500000,6234
2510000,6247
2520000,6319
2530000,6355
2540000,6368
2550000,6397
2560000,6431
2570000,6459
2580000,6470
2590000,6507
2600000,6511
2610000,6535
2620000,6542
2630000,6610
2640000,6633
2650000,6653
