layer,tracer,workload,configuration,time,event,freq,total_event_cost,cost_per_event
L1,Perf,cpu_benchmark,1_5000,2719287035,HLT,36,1814113,50392.03
L1,Perf,cpu_benchmark,1_5000,2719287035,EXTERNAL_INTERRUPT,706,339080,480.28
L1,Perf,cpu_benchmark,1_5000,2719287035,PREEMPTION_TIMER,695,305528,439.61
L1,Perf,cpu_benchmark,1_5000,2719287035,MSR_WRITE,697,229221,328.87
L1,Perf,cpu_benchmark,1_5000,2719287035,IO_INSTRUCTION,50,169880,3397.6
L1,Perf,cpu_benchmark,1_5000,2719287035,EPT_MISCONFIG,55,64035,1164.27
L1,Perf,cpu_benchmark,1_5000,2719287035,CPUID,21,7427,353.67
L1,Perf,cpu_benchmark,1_5000,2719287035,PENDING_INTERRUPT,5,2220,444.0
L1,Perf,cpu_benchmark,1_5000,2719287035,PAUSE_INSTRUCTION,4,864,216.0
L1,Perf,cpu_benchmark,1_5000,2719287035,VMCALL,1,0,0.0
L1,Perf,cpu_benchmark,1_5000,2720747290,EXTERNAL_INTERRUPT,728,3634932,4993.04
L1,Perf,cpu_benchmark,1_5000,2720747290,HLT,39,1579080,40489.23
L1,Perf,cpu_benchmark,1_5000,2720747290,PREEMPTION_TIMER,696,319317,458.79
L1,Perf,cpu_benchmark,1_5000,2720747290,IO_INSTRUCTION,87,261532,3006.11
L1,Perf,cpu_benchmark,1_5000,2720747290,MSR_WRITE,698,219076,313.86
L1,Perf,cpu_benchmark,1_5000,2720747290,EPT_MISCONFIG,54,58039,1074.8
L1,Perf,cpu_benchmark,1_5000,2720747290,CPUID,21,7559,359.95
L1,Perf,cpu_benchmark,1_5000,2720747290,PENDING_INTERRUPT,6,2471,411.83
L1,Perf,cpu_benchmark,1_5000,2720747290,PAUSE_INSTRUCTION,8,1778,222.25
L1,Perf,cpu_benchmark,1_5000,2720747290,EXCEPTION_NMI,1,249,249.0
L1,Perf,cpu_benchmark,1_5000,2720747290,VMCALL,1,0,0.0
L1,Perf,cpu_benchmark,1_5000,2701680068,HLT,37,1663725,44965.54
L1,Perf,cpu_benchmark,1_5000,2701680068,PREEMPTION_TIMER,692,338312,488.89
L1,Perf,cpu_benchmark,1_5000,2701680068,MSR_WRITE,694,230789,332.55
L1,Perf,cpu_benchmark,1_5000,2701680068,IO_INSTRUCTION,53,212960,4018.11
L1,Perf,cpu_benchmark,1_5000,2701680068,EXTERNAL_INTERRUPT,687,188085,273.78
L1,Perf,cpu_benchmark,1_5000,2701680068,EPT_MISCONFIG,50,57180,1143.6
L1,Perf,cpu_benchmark,1_5000,2701680068,CPUID,21,7302,347.71
L1,Perf,cpu_benchmark,1_5000,2701680068,PENDING_INTERRUPT,3,984,328.0
L1,Perf,cpu_benchmark,1_5000,2701680068,PAUSE_INSTRUCTION,4,899,224.75
L1,Perf,cpu_benchmark,1_5000,2701680068,MSR_READ,1,735,735.0
L1,Perf,cpu_benchmark,1_5000,2701680068,EXCEPTION_NMI,1,321,321.0
L1,Perf,cpu_benchmark,1_5000,2701680068,VMCALL,1,0,0.0
L1,Perf,cpu_benchmark,1_5000,2708064209,HLT,37,1441076,38948.0
L1,Perf,cpu_benchmark,1_5000,2708064209,PREEMPTION_TIMER,693,296498,427.85
L1,Perf,cpu_benchmark,1_5000,2708064209,IO_INSTRUCTION,87,240025,2758.91
L1,Perf,cpu_benchmark,1_5000,2708064209,MSR_WRITE,694,203770,293.62
L1,Perf,cpu_benchmark,1_5000,2708064209,EXTERNAL_INTERRUPT,693,154994,223.66
L1,Perf,cpu_benchmark,1_5000,2708064209,EPT_MISCONFIG,60,61145,1019.08
L1,Perf,cpu_benchmark,1_5000,2708064209,CPUID,21,6650,316.67
L1,Perf,cpu_benchmark,1_5000,2708064209,PENDING_INTERRUPT,7,2369,338.43
L1,Perf,cpu_benchmark,1_5000,2708064209,PAUSE_INSTRUCTION,8,1741,217.62
