layer,tracer,workload,configuration,time,event,freq,total_event_cost,cost_per_event
L1,Lttng_After,cpu_benchmark,1_10000,7271466497,HLT,312,220305342,706106.87
L1,Lttng_After,cpu_benchmark,1_10000,7271466497,HLT,312,220305342,706106.87
L1,Lttng_After,cpu_benchmark,1_10000,7271466497,EXTERNAL_INTERRUPT,1806,8658539,4794.32
L1,Lttng_After,cpu_benchmark,1_10000,7271466497,MSR_WRITE,2465,5780034,2344.84
L1,Lttng_After,cpu_benchmark,1_10000,7271466497,PREEMPTION_TIMER,1791,4940948,2758.76
L1,Lttng_After,cpu_benchmark,1_10000,7271466497,IO_INSTRUCTION,295,2827804,9585.78
L1,Lttng_After,cpu_benchmark,1_10000,7271466497,EPT_MISCONFIG,29,135718,4679.93
L1,Lttng_After,cpu_benchmark,1_10000,7271466497,PENDING_INTERRUPT,24,52483,2186.79
L1,Lttng_After,cpu_benchmark,1_10000,7271466497,CPUID,37,47905,1294.73
L1,Lttng_After,cpu_benchmark,1_10000,7271466497,PAUSE_INSTRUCTION,24,40001,1666.71
L1,Lttng_After,cpu_benchmark,1_10000,7271466497,MSR_READ,26,18875,725.96
L1,Lttng_After,cpu_benchmark,1_10000,7271466497,VMCALL,1,0,0.0
L1,Lttng_After,cpu_benchmark,1_10000,7249055943,HLT,250,216544836,866179.34
L1,Lttng_After,cpu_benchmark,1_10000,7249055943,MSR_WRITE,2374,5500382,2316.93
L1,Lttng_After,cpu_benchmark,1_10000,7249055943,PREEMPTION_TIMER,1765,4740384,2685.77
L1,Lttng_After,cpu_benchmark,1_10000,7249055943,IO_INSTRUCTION,292,2717333,9305.93
L1,Lttng_After,cpu_benchmark,1_10000,7249055943,EXTERNAL_INTERRUPT,1800,1817121,1009.51
L1,Lttng_After,cpu_benchmark,1_10000,7249055943,EPT_MISCONFIG,28,154832,5529.71
L1,Lttng_After,cpu_benchmark,1_10000,7249055943,CPUID,35,46680,1333.71
L1,Lttng_After,cpu_benchmark,1_10000,7249055943,PAUSE_INSTRUCTION,37,40680,1099.46
L1,Lttng_After,cpu_benchmark,1_10000,7249055943,PENDING_INTERRUPT,13,38922,2994.0
L1,Lttng_After,cpu_benchmark,1_10000,7249055943,MSR_READ,1,1508,1508.0
L1,Lttng_After,cpu_benchmark,1_10000,7249055943,EXCEPTION_NMI,1,866,866.0
L1,Lttng_After,cpu_benchmark,1_10000,7249055943,VMCALL,1,0,0.0
L1,Lttng_After,cpu_benchmark,1_10000,7259310920,HLT,287,221314459,771130.52
L1,Lttng_After,cpu_benchmark,1_10000,7259310920,MSR_WRITE,2439,5884062,2412.49
L1,Lttng_After,cpu_benchmark,1_10000,7259310920,PREEMPTION_TIMER,1761,4632284,2630.48
L1,Lttng_After,cpu_benchmark,1_10000,7259310920,IO_INSTRUCTION,292,2897239,9922.05
L1,Lttng_After,cpu_benchmark,1_10000,7259310920,EXTERNAL_INTERRUPT,1898,2414367,1272.06
L1,Lttng_After,cpu_benchmark,1_10000,7259310920,EPT_MISCONFIG,29,158295,5458.45
L1,Lttng_After,cpu_benchmark,1_10000,7259310920,PENDING_INTERRUPT,27,73599,2725.89
L1,Lttng_After,cpu_benchmark,1_10000,7259310920,CPUID,35,46688,1333.94
L1,Lttng_After,cpu_benchmark,1_10000,7259310920,PAUSE_INSTRUCTION,22,24879,1130.86
L1,Lttng_After,cpu_benchmark,1_10000,7259310920,MSR_READ,1,1532,1532.0
L1,Lttng_After,cpu_benchmark,1_10000,7259310920,EXCEPTION_NMI,1,886,886.0
L1,Lttng_After,cpu_benchmark,1_10000,7259310920,VMCALL,1,0,0.0
L1,Lttng_After,cpu_benchmark,1_10000,7251188765,HLT,213,210398475,987786.27
L1,Lttng_After,cpu_benchmark,1_10000,7251188765,MSR_WRITE,2205,5179059,2348.78
L1,Lttng_After,cpu_benchmark,1_10000,7251188765,PREEMPTION_TIMER,1786,4745293,2656.94
L1,Lttng_After,cpu_benchmark,1_10000,7251188765,EXTERNAL_INTERRUPT,1897,2604962,1373.2
L1,Lttng_After,cpu_benchmark,1_10000,7251188765,IO_INSTRUCTION,255,2491083,9768.95
L1,Lttng_After,cpu_benchmark,1_10000,7251188765,EPT_MISCONFIG,30,151516,5050.53
L1,Lttng_After,cpu_benchmark,1_10000,7251188765,CPUID,35,46351,1324.31
L1,Lttng_After,cpu_benchmark,1_10000,7251188765,PENDING_INTERRUPT,13,27640,2126.15
L1,Lttng_After,cpu_benchmark,1_10000,7251188765,PAUSE_INSTRUCTION,22,25068,1139.45
L1,Lttng_After,cpu_benchmark,1_10000,7251188765,MSR_READ,1,1519,1519.0
L1,Lttng_After,cpu_benchmark,1_10000,7251188765,EXCEPTION_NMI,1,911,911.0
L1,Lttng_After,cpu_benchmark,1_10000,7251188765,VMCALL,1,0,0.0
L1,Lttng_After,cpu_benchmark,1_10000,7243369166,HLT,224,214535062,957745.81
L1,Lttng_After,cpu_benchmark,1_10000,7243369166,MSR_WRITE,2320,5505583,2373.1
L1,Lttng_After,cpu_benchmark,1_10000,7243369166,PREEMPTION_TIMER,1765,4749964,2691.2
L1,Lttng_After,cpu_benchmark,1_10000,7243369166,IO_INSTRUCTION,254,2425637,9549.75
L1,Lttng_After,cpu_benchmark,1_10000,7243369166,EXTERNAL_INTERRUPT,1810,1764381,974.8
L1,Lttng_After,cpu_benchmark,1_10000,7243369166,EPT_MISCONFIG,30,159280,5309.33
L1,Lttng_After,cpu_benchmark,1_10000,7243369166,CPUID,35,47640,1361.14
L1,Lttng_After,cpu_benchmark,1_10000,7243369166,PENDING_INTERRUPT,17,35360,2080.0
L1,Lttng_After,cpu_benchmark,1_10000,7243369166,PAUSE_INSTRUCTION,29,30826,1062.97
L1,Lttng_After,cpu_benchmark,1_10000,7243369166,MSR_READ,1,1517,1517.0
L1,Lttng_After,cpu_benchmark,1_10000,7243369166,EXCEPTION_NMI,1,898,898.0
L1,Lttng_After,cpu_benchmark,1_10000,7243369166,VMCALL,1,0,0.0
L1,Lttng_After,cpu_benchmark,1_10000,7247807093,HLT,315,226046854,717609.06
L1,Lttng_After,cpu_benchmark,1_10000,7247807093,MSR_WRITE,2477,5923513,2391.41
L1,Lttng_After,cpu_benchmark,1_10000,7247807093,PREEMPTION_TIMER,1784,4687111,2627.3
L1,Lttng_After,cpu_benchmark,1_10000,7247807093,EXTERNAL_INTERRUPT,1882,4167732,2214.52
L1,Lttng_After,cpu_benchmark,1_10000,7247807093,IO_INSTRUCTION,254,2518659,9915.98
L1,Lttng_After,cpu_benchmark,1_10000,7247807093,EPT_MISCONFIG,37,164070,4434.32
L1,Lttng_After,cpu_benchmark,1_10000,7247807093,CPUID,35,47171,1347.74
L1,Lttng_After,cpu_benchmark,1_10000,7247807093,PAUSE_INSTRUCTION,29,33796,1165.38
L1,Lttng_After,cpu_benchmark,1_10000,7247807093,PENDING_INTERRUPT,14,29948,2139.14
L1,Lttng_After,cpu_benchmark,1_10000,7247807093,MSR_READ,1,1538,1538.0
L1,Lttng_After,cpu_benchmark,1_10000,7247807093,VMCALL,1,0,0.0
