layer,tracer,workload,configuration,time,event,freq,total_event_cost,cost_per_event
L1,Lttng,cpu_benchmark,1_10000,7006817862,HLT,16,1014859,63428.69
L1,Lttng,cpu_benchmark,1_10000,7006817862,PREEMPTION_TIMER,1789,986084,551.19
L1,Lttng,cpu_benchmark,1_10000,7006817862,MSR_WRITE,1791,614059,342.86
L1,Lttng,cpu_benchmark,1_10000,7006817862,IO_INSTRUCTION,148,535403,3617.59
L1,Lttng,cpu_benchmark,1_10000,7006817862,EXTERNAL_INTERRUPT,1771,469404,265.05
L1,Lttng,cpu_benchmark,1_10000,7006817862,EPT_MISCONFIG,27,36675,1358.33
L1,Lttng,cpu_benchmark,1_10000,7006817862,CPUID,21,7197,342.71
L1,Lttng,cpu_benchmark,1_10000,7006817862,PENDING_INTERRUPT,7,2428,346.86
L1,Lttng,cpu_benchmark,1_10000,7006817862,PAUSE_INSTRUCTION,8,1797,224.62
L1,Lttng,cpu_benchmark,1_10000,7006817862,EXCEPTION_NMI,1,1777,1777.0
L1,Lttng,cpu_benchmark,1_10000,7006817862,MSR_READ,1,586,586.0
L1,Lttng,cpu_benchmark,1_10000,7006817862,VMCALL,1,0,0.0
L1,Lttng,cpu_benchmark,1_10000,7017798870,PREEMPTION_TIMER,1791,930801,519.71
L1,Lttng,cpu_benchmark,1_10000,7017798870,HLT,16,907381,56711.31
L1,Lttng,cpu_benchmark,1_10000,7017798870,MSR_WRITE,1792,578919,323.06
L1,Lttng,cpu_benchmark,1_10000,7017798870,IO_INSTRUCTION,149,516027,3463.27
L1,Lttng,cpu_benchmark,1_10000,7017798870,EXTERNAL_INTERRUPT,1774,419612,236.53
L1,Lttng,cpu_benchmark,1_10000,7017798870,EPT_MISCONFIG,30,38329,1277.63
L1,Lttng,cpu_benchmark,1_10000,7017798870,CPUID,21,7305,347.86
L1,Lttng,cpu_benchmark,1_10000,7017798870,PENDING_INTERRUPT,7,2224,317.71
L1,Lttng,cpu_benchmark,1_10000,7017798870,PAUSE_INSTRUCTION,8,1720,215.0
L1,Lttng,cpu_benchmark,1_10000,7017798870,MSR_READ,1,561,561.0
L1,Lttng,cpu_benchmark,1_10000,7017798870,EXCEPTION_NMI,1,272,272.0
L1,Lttng,cpu_benchmark,1_10000,7017798870,VMCALL,1,0,0.0
L1,Lttng,cpu_benchmark,1_10000,7031024437,PREEMPTION_TIMER,1797,949008,528.11
L1,Lttng,cpu_benchmark,1_10000,7031024437,HLT,16,781266,48829.12
L1,Lttng,cpu_benchmark,1_10000,7031024437,IO_INSTRUCTION,189,638665,3379.18
L1,Lttng,cpu_benchmark,1_10000,7031024437,EXTERNAL_INTERRUPT,1820,625210,343.52
L1,Lttng,cpu_benchmark,1_10000,7031024437,MSR_WRITE,1799,592329,329.25
L1,Lttng,cpu_benchmark,1_10000,7031024437,EPT_MISCONFIG,31,39832,1284.9
L1,Lttng,cpu_benchmark,1_10000,7031024437,CPUID,21,6633,315.86
L1,Lttng,cpu_benchmark,1_10000,7031024437,PAUSE_INSTRUCTION,16,3458,216.12
L1,Lttng,cpu_benchmark,1_10000,7031024437,PENDING_INTERRUPT,9,3107,345.22
L1,Lttng,cpu_benchmark,1_10000,7031024437,MSR_READ,2,1106,553.0
L1,Lttng,cpu_benchmark,1_10000,7031024437,EXCEPTION_NMI,1,323,323.0
L1,Lttng,cpu_benchmark,1_10000,7031024437,VMCALL,1,0,0.0
L1,Lttng,cpu_benchmark,1_10000,7015191070,HLT,15,969515,64634.33
L1,Lttng,cpu_benchmark,1_10000,7015191070,PREEMPTION_TIMER,1790,932381,520.88
L1,Lttng,cpu_benchmark,1_10000,7015191070,IO_INSTRUCTION,185,728062,3935.47
L1,Lttng,cpu_benchmark,1_10000,7015191070,MSR_WRITE,1792,629147,351.09
L1,Lttng,cpu_benchmark,1_10000,7015191070,EXTERNAL_INTERRUPT,1787,578751,323.87
L1,Lttng,cpu_benchmark,1_10000,7015191070,EPT_MISCONFIG,36,47529,1320.25
L1,Lttng,cpu_benchmark,1_10000,7015191070,CPUID,21,7559,359.95
L1,Lttng,cpu_benchmark,1_10000,7015191070,PENDING_INTERRUPT,10,3846,384.6
L1,Lttng,cpu_benchmark,1_10000,7015191070,PAUSE_INSTRUCTION,16,3688,230.5
L1,Lttng,cpu_benchmark,1_10000,7015191070,MSR_READ,1,684,684.0
