layer,tracer,compressed_event,workload,configuration,time
L1,None,0,syscall_benchmark,getcpu_0_5000,127479
L1,None,0,syscall_benchmark,getcpu_0_5000,128217
L1,None,0,syscall_benchmark,getcpu_0_5000,118345
L1,None,0,syscall_benchmark,getcpu_0_5000,118354
L1,None,0,syscall_benchmark,getcpu_0_5000,118502
L1,None,0,syscall_benchmark,getcpu_0_5000,132267
L1,None,0,syscall_benchmark,getcpu_0_5000,127192
L1,None,0,syscall_benchmark,getcpu_0_5000,128849
L1,None,0,syscall_benchmark,getcpu_0_5000,119621
L1,None,0,syscall_benchmark,getcpu_0_5000,132706
L1,None,0,syscall_benchmark,getcpu_0_5000,128304
L1,None,0,syscall_benchmark,getcpu_0_5000,133569
L1,None,0,syscall_benchmark,getcpu_0_5000,118266
L1,None,0,syscall_benchmark,getcpu_0_5000,127496
L1,None,0,syscall_benchmark,getcpu_0_5000,145637
L1,None,0,syscall_benchmark,getcpu_0_5000,147794
L1,None,0,syscall_benchmark,getcpu_0_5000,127419
L1,None,0,syscall_benchmark,getcpu_0_5000,118296
L1,None,0,syscall_benchmark,getcpu_0_5000,118319
L1,None,0,syscall_benchmark,getcpu_0_5000,127561
L1,None,0,syscall_benchmark,getcpu_0_5000,213065
L1,None,0,syscall_benchmark,getcpu_0_5000,119163
L1,None,0,syscall_benchmark,getcpu_0_5000,118173
L1,None,0,syscall_benchmark,getcpu_0_5000,127856
L1,None,0,syscall_benchmark,getcpu_0_5000,124345
L1,None,0,syscall_benchmark,getcpu_0_5000,127089
L1,None,0,syscall_benchmark,getcpu_0_5000,119708
L1,None,0,syscall_benchmark,getcpu_0_5000,119100
L1,None,0,syscall_benchmark,getcpu_0_5000,154058
L1,None,0,syscall_benchmark,getcpu_0_5000,118271
L1,Hypertracing,0,syscall_benchmark,getcpu_0_5000,2281900
L1,Hypertracing,0,syscall_benchmark,getcpu_0_5000,2277675
L1,Hypertracing,0,syscall_benchmark,getcpu_0_5000,2425987
L1,Hypertracing,0,syscall_benchmark,getcpu_0_5000,2157770
L1,Hypertracing,0,syscall_benchmark,getcpu_0_5000,2593288
L1,Hypertracing,0,syscall_benchmark,getcpu_0_5000,2359529
L1,Hypertracing,0,syscall_benchmark,getcpu_0_5000,2163953
L1,Hypertracing,0,syscall_benchmark,getcpu_0_5000,2074033
L1,Hypertracing,0,syscall_benchmark,getcpu_0_5000,2083954
L1,Hypertracing,0,syscall_benchmark,getcpu_0_5000,2330069
L1,Hypertracing,0,syscall_benchmark,getcpu_0_5000,2187463
L1,Hypertracing,0,syscall_benchmark,getcpu_0_5000,2091856
L1,Hypertracing,0,syscall_benchmark,getcpu_0_5000,2127092
