layer,tracer,workload,event,total_event_cost,cost_per_event
L1,DD,1000,32,5993151,0
L1,DD,1000,49,5548923,0
L1,DD,1000,1,1929952,0
L1,DD,1000,18,24150124,0
L1,DD,1000,52,77179,0
L1,DD,1000,7,24726,0
L1,DD,1000,40,1139,0
L1,DD,1000,10,21509,0
L1,DD,1000,12,1642776007,0
L1,DD,1000,30,90030,0
L1,Lttng,1000,32,6755381,0
L1,Lttng,1000,49,6593505,0
L1,Lttng,1000,1,46944,0
L1,Lttng,1000,18,6564421,0
L1,Lttng,1000,52,24686,0
L1,Lttng,1000,7,11765,0
L1,Lttng,1000,40,1141,0
L1,Lttng,1000,10,15432,0
L1,Lttng,1000,12,1804478501,0
L1,Lttng,1000,30,100180,0
