layer,tracing_enabled,type,freq,event
L2,1,trap,1247213,kvm_x86_entry
L2,1,trap,1247213,kvm_x86_exit
L2,1,exit_reason,460317,MSR_WRITE
L2,1,exit_reason,212666,IO_INSTRUCTION
L2,1,exit_reason,126679,VMWRITE
L2,1,exit_reason,121499,MSR_READ
L2,1,exit_reason,121429,XSETBV
L2,1,exit_reason,121429,VMRESUME
L2,1,exit_reason,67997,VMREAD
L2,1,exit_reason,5409,PENDING_INTERRUPT
L2,1,exit_reason,5226,HLT
L2,1,exit_reason,2310,EXTERNAL_INTERRUPT
L2,1,exit_reason,900,PREEMPTION_TIMER
L2,1,exit_reason,852,CPUID
L2,1,exit_reason,268,EPT_MISCONFIG
L2,1,exit_reason,232,EPT_VIOLATION
L2,1,trap,576700,kvm_x86_msr
L2,1,trap,242858,kvm_mmu_get_page
L2,1,trap,215284,kvm_fpu
L2,1,trap,171687,kvm_mmu_paging_element
L2,1,trap,126479,kvm_x86_nested_vmexit
L2,1,trap,121429,kvm_x86_nested_vmexit_inject
L2,1,trap,104529,kvm_userspace_exit
L2,1,trap,104261,kvm_x86_pio
L2,1,trap,56982,kvm_mmu_pagetable_walk
L2,1,trap,56470,kvm_x86_emulate_insn
L2,1,trap,25553,kvm_ioapic_set_irq
L2,1,trap,25553,kvm_x86_pic_set_irq
L2,1,trap,25553,kvm_set_irq
L2,1,trap,6255,kvm_x86_eoi
L2,1,trap,6255,kvm_x86_apic_accept_irq
L2,1,trap,5487,kvm_x86_inj_virq
L2,1,trap,5430,kvm_x86_pv_eoi
L2,1,trap,864,kvm_x86_apic
L2,1,trap,409,kvm_mmio
L2,1,trap,407,kvm_x86_cpuid
L2,1,trap,268,kvm_x86_vcpu_match_mmio
L2,1,trap,232,kvm_x86_page_fault
L2,1,trap,232,kvm_mmu_walker_error
L2,1,trap,78,kvm_mmu_handle_mmio_page_fault
L2,1,trap,39,kvm_ack_irq
L2,0,trap,1180419,kvm_x86_exit
L2,0,exit_reason,433372,MSR_WRITE
L2,0,exit_reason,204566,IO_INSTRUCTION
L2,0,exit_reason,120125,VMWRITE
L2,0,exit_reason,114532,MSR_READ
L2,0,exit_reason,114474,XSETBV
L2,0,exit_reason,114474,VMRESUME
L2,0,exit_reason,64492,VMREAD
L2,0,exit_reason,5114,HLT
L2,0,exit_reason,4927,PENDING_INTERRUPT
L2,0,exit_reason,2254,EXTERNAL_INTERRUPT
L2,0,exit_reason,881,PREEMPTION_TIMER
L2,0,exit_reason,796,CPUID
L2,0,exit_reason,229,EPT_MISCONFIG
L2,0,exit_reason,183,EPT_VIOLATION
L2,0,trap,1180419,kvm_x86_entry
L2,0,trap,543099,kvm_x86_msr
L2,0,trap,228948,kvm_mmu_get_page
L2,0,trap,211300,kvm_fpu
L2,0,trap,168193,kvm_mmu_paging_element
L2,0,trap,117609,kvm_x86_nested_vmexit
L2,0,trap,114474,kvm_x86_nested_vmexit_inject
L2,0,trap,102519,kvm_userspace_exit
L2,0,trap,102289,kvm_x86_pio
L2,0,trap,55861,kvm_mmu_pagetable_walk
L2,0,trap,55444,kvm_x86_emulate_insn
L2,0,trap,25163,kvm_ioapic_set_irq
L2,0,trap,25163,kvm_set_irq
L2,0,trap,25163,kvm_x86_pic_set_irq
L2,0,trap,6042,kvm_x86_apic_accept_irq
L2,0,trap,6041,kvm_x86_eoi
L2,0,trap,5254,kvm_x86_inj_virq
L2,0,trap,5206,kvm_x86_pv_eoi
L2,0,trap,870,kvm_x86_apic
L2,0,trap,400,kvm_x86_cpuid
L2,0,trap,351,kvm_mmio
L2,0,trap,229,kvm_x86_vcpu_match_mmio
L2,0,trap,183,kvm_x86_page_fault
L2,0,trap,176,kvm_mmu_walker_error
L2,0,trap,71,kvm_mmu_handle_mmio_page_fault
L2,0,trap,35,kvm_ack_irq
L1,1,trap,225486,kvm_fpu
L1,1,trap,175119,kvm_mmu_paging_element
L1,1,trap,127312,kvm_x86_exit
L1,1,exit_reason,107197,IO_INSTRUCTION
L1,1,exit_reason,13606,MSR_WRITE
L1,1,exit_reason,5343,HLT
L1,1,exit_reason,445,CPUID
L1,1,exit_reason,274,EPT_MISCONFIG
L1,1,exit_reason,165,EXTERNAL_INTERRUPT
L1,1,exit_reason,136,PREEMPTION_TIMER
L1,1,exit_reason,102,PENDING_INTERRUPT
L1,1,exit_reason,44,MSR_READ
L1,1,trap,127312,kvm_x86_entry
L1,1,trap,107469,kvm_userspace_exit
L1,1,trap,107195,kvm_x86_pio
L1,1,trap,58204,kvm_mmu_pagetable_walk
L1,1,trap,57926,kvm_x86_emulate_insn
L1,1,trap,26110,kvm_ioapic_set_irq
L1,1,trap,26110,kvm_set_irq
L1,1,trap,26110,kvm_x86_pic_set_irq
L1,1,trap,13650,kvm_x86_msr
L1,1,trap,5540,kvm_x86_inj_virq
L1,1,trap,5540,kvm_x86_apic_accept_irq
L1,1,trap,5539,kvm_x86_eoi
L1,1,trap,5489,kvm_x86_pv_eoi
L1,1,trap,445,kvm_x86_cpuid
L1,1,trap,420,kvm_mmio
L1,1,trap,274,kvm_x86_vcpu_match_mmio
L1,1,trap,94,kvm_x86_apic
L1,1,trap,90,kvm_mmu_handle_mmio_page_fault
L1,1,trap,44,kvm_ack_irq
L1,0,trap,214739,kvm_fpu
L1,0,trap,167096,kvm_mmu_paging_element
L1,0,trap,120724,kvm_x86_entry
L1,0,trap,120723,kvm_x86_exit
L1,0,exit_reason,102107,IO_INSTRUCTION
L1,0,exit_reason,12641,MSR_WRITE
L1,0,exit_reason,5060,HLT
L1,0,exit_reason,396,CPUID
L1,0,exit_reason,228,EPT_MISCONFIG
