layer,tracing_enabled,type,freq,event
L2,1,trap,12389043,kvm_x86_entry
L2,1,trap,12389043,kvm_x86_exit
L2,1,exit_reason,4564213,MSR_WRITE
L2,1,exit_reason,2128103,IO_INSTRUCTION
L2,1,exit_reason,1261689,VMWRITE
L2,1,exit_reason,1207029,MSR_READ
L2,1,exit_reason,1206932,XSETBV
L2,1,exit_reason,1206932,VMRESUME
L2,1,exit_reason,675876,VMREAD
L2,1,exit_reason,51567,PENDING_INTERRUPT
L2,1,exit_reason,50636,HLT
L2,1,exit_reason,24751,EXTERNAL_INTERRUPT
L2,1,exit_reason,8198,PREEMPTION_TIMER
L2,1,exit_reason,1946,EPT_VIOLATION
L2,1,exit_reason,852,CPUID
L2,1,exit_reason,318,EPT_MISCONFIG
L2,1,exit_reason,1,EXCEPTION_NMI
L2,1,trap,5721499,kvm_x86_msr
L2,1,trap,2413875,kvm_mmu_get_page
L2,1,trap,2150730,kvm_fpu
L2,1,trap,1697115,kvm_mmu_paging_element
L2,1,trap,1233894,kvm_x86_nested_vmexit
L2,1,trap,1206932,kvm_x86_nested_vmexit_inject
L2,1,trap,1044896,kvm_userspace_exit
L2,1,trap,1044578,kvm_x86_pio
L2,1,trap,565392,kvm_mmu_pagetable_walk
L2,1,trap,563012,kvm_x86_emulate_insn
L2,1,trap,255060,kvm_x86_pic_set_irq
L2,1,trap,255060,kvm_ioapic_set_irq
L2,1,trap,255060,kvm_set_irq
L2,1,trap,61421,kvm_x86_apic_accept_irq
L2,1,trap,61421,kvm_x86_eoi
L2,1,trap,52233,kvm_x86_inj_virq
L2,1,trap,51918,kvm_x86_pv_eoi
L2,1,trap,9568,kvm_x86_apic
L2,1,trap,1946,kvm_x86_page_fault
L2,1,trap,510,kvm_mmio
L2,1,trap,407,kvm_x86_cpuid
L2,1,trap,318,kvm_x86_vcpu_match_mmio
L2,1,trap,242,kvm_mmu_walker_error
L2,1,trap,130,kvm_mmu_handle_mmio_page_fault
L2,1,trap,65,kvm_ack_irq
L2,1,trap,11,kvm_mmu_prepare_zap_page
