layer,tracer,workload,configuration,time,event,freq,total_event_cost,cost_per_event
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,2723732,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3197807,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3216213,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3372864,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3211386,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3072993,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3082395,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3255109,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3183820,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3298339,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3262062,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3249002,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3243735,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,2994914,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3128823,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3242710,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3193977,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,2779330,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3429667,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,2710583,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3281163,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3065023,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3177554,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3391802,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,2999203,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3103585,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3304242,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3183102,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,2948181,VMCALL,0,0,-1
L1,Hypertracing_compress_4,sched_benchmark,sched_switch_2_1000,3320736,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,3270279,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,3137230,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,2592512,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,2057126,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,2623399,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,2059724,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,2694556,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,3112197,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,2056784,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,2552526,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,1915170,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,2684320,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,2021747,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,3032561,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,2830126,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,2876776,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,2633283,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,2703413,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,3102304,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,2674078,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,2680387,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,3120886,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,2115358,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,3074139,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,2419840,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,2657278,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,3007942,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,2721095,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,3050784,VMCALL,0,0,-1
L1,Hypertracing_compress_5,sched_benchmark,sched_switch_2_1000,2053299,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,2841603,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,2813891,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,1909707,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,2151535,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,2853558,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,2031620,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,2866095,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,2889549,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,2778469,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,1922713,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,2460999,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,2735367,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,2459294,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,2213829,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,2014573,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,2539083,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,2827680,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,3008375,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,1948830,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,2704647,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,1956050,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,2892006,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,1955809,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,2501554,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,2830083,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,2840078,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,2873967,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,2849651,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,2054440,VMCALL,0,0,-1
L1,Hypertracing_compress_7,sched_benchmark,sched_switch_2_1000,1994141,VMCALL,0,0,-1
L1,Hypertracing,sched_benchmark,sched_switch_2_1000,5082479,VMCALL,0,0,-1
L1,Hypertracing,sched_benchmark,sched_switch_2_1000,4812742,VMCALL,0,0,-1
L1,Hypertracing,sched_benchmark,sched_switch_2_1000,5113869,VMCALL,0,0,-1
L1,Hypertracing,sched_benchmark,sched_switch_2_1000,5067841,VMCALL,0,0,-1
L1,Hypertracing,sched_benchmark,sched_switch_2_1000,5357709,VMCALL,0,0,-1
