layer,tracer,workload,configuration,time,event,freq,total_event_cost,cost_per_event
L1,Ftrace,syscall_benchmark,getcpu_0_1000,175657,VMCALL,1,0,0.0
L1,Ftrace,syscall_benchmark,getcpu_0_1000,178690,VMCALL,1,0,0.0
L1,Ftrace,syscall_benchmark,getcpu_0_1000,184951,PREEMPTION_TIMER,1,1224,1224.0
L1,Ftrace,syscall_benchmark,getcpu_0_1000,184951,MSR_WRITE,1,609,609.0
L1,Ftrace,syscall_benchmark,getcpu_0_1000,184951,VMCALL,1,0,0.0
L1,Ftrace,syscall_benchmark,getcpu_0_1000,177070,VMCALL,1,0,0.0
L1,Ftrace,syscall_benchmark,getcpu_0_1000,183110,VMCALL,1,0,0.0
L1,Ftrace,syscall_benchmark,getcpu_0_1000,211875,VMCALL,1,0,0.0
L1,Ftrace,syscall_benchmark,getcpu_0_1000,184082,PREEMPTION_TIMER,1,1004,1004.0
L1,Ftrace,syscall_benchmark,getcpu_0_1000,184082,MSR_WRITE,1,646,646.0
L1,Ftrace,syscall_benchmark,getcpu_0_1000,184082,PENDING_INTERRUPT,1,578,578.0
L1,Ftrace,syscall_benchmark,getcpu_0_1000,184082,VMCALL,1,0,0.0
L1,Ftrace,syscall_benchmark,getcpu_0_1000,176943,VMCALL,1,0,0.0
L1,Ftrace,syscall_benchmark,getcpu_0_1000,178476,VMCALL,1,0,0.0
L1,Ftrace,syscall_benchmark,getcpu_0_1000,186096,VMCALL,1,0,0.0
L1,Kprobe,syscall_benchmark,getcpu_0_1000,61087,VMCALL,1,0,0.0
L1,Kprobe,syscall_benchmark,getcpu_0_1000,61453,VMCALL,1,0,0.0
L1,Kprobe,syscall_benchmark,getcpu_0_1000,61961,VMCALL,1,0,0.0
L1,Kprobe,syscall_benchmark,getcpu_0_1000,61526,VMCALL,1,0,0.0
L1,Kprobe,syscall_benchmark,getcpu_0_1000,62991,VMCALL,1,0,0.0
L1,Kprobe,syscall_benchmark,getcpu_0_1000,66924,VMCALL,1,0,0.0
L1,Kprobe,syscall_benchmark,getcpu_0_1000,61600,VMCALL,1,0,0.0
L1,Kprobe,syscall_benchmark,getcpu_0_1000,60826,VMCALL,1,0,0.0
L1,Kprobe,syscall_benchmark,getcpu_0_1000,66796,VMCALL,1,0,0.0
L1,Kprobe,syscall_benchmark,getcpu_0_1000,60769,VMCALL,1,0,0.0
L1,Lttng,syscall_benchmark,getcpu_0_1000,194914,VMCALL,1,0,0.0
L1,Lttng,syscall_benchmark,getcpu_0_1000,192023,VMCALL,1,0,0.0
L1,Lttng,syscall_benchmark,getcpu_0_1000,197999,VMCALL,1,0,0.0
