layer,tracer,workload,configuration,time,event,freq,total_event_cost,cost_per_event
L1,Ftrace,syscall_benchmark,getcpu_0_2500,428174,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,432243,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,428781,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,439780,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,433860,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,428486,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,430672,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,442850,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,454275,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,430342,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,428740,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,443192,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,432844,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,431528,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,430172,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,428899,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,471948,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,431663,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,430574,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,476197,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,438031,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,429869,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,496056,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,466940,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,429218,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,431828,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,441675,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,433833,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,432712,VMCALL,0,0,-1
L1,Ftrace,syscall_benchmark,getcpu_0_2500,430392,VMCALL,0,0,-1
