layer,tracer,workload,event,freq,total_event_cost,cost_per_event
L1,Lttng,1_10000,HLT,282,219524792,778456.71
L1,Lttng,1_10000,MSR_WRITE,2395,950597,396.91
L1,Lttng,1_10000,PREEMPTION_TIMER,1763,897330,508.98
L1,Lttng,1_10000,EXTERNAL_INTERRUPT,1979,791758,400.08
L1,Lttng,1_10000,IO_INSTRUCTION,150,727622,4850.81
L1,Lttng,1_10000,EPT_MISCONFIG,38,66259,1743.66
L1,Lttng,1_10000,CPUID,35,11591,331.17
L1,Lttng,1_10000,PAUSE_INSTRUCTION,25,7061,282.44
L1,Lttng,1_10000,PENDING_INTERRUPT,13,4216,324.31
L1,Lttng,1_10000,MSR_READ,1,486,486.0
L1,Lttng,1_10000,VMCALL,1,0,0.0
L1,Lttng,1_10000,HLT,282,220064306,780369.88
L1,Lttng,1_10000,MSR_WRITE,2427,1083884,446.59
L1,Lttng,1_10000,PREEMPTION_TIMER,1786,881579,493.61
L1,Lttng,1_10000,EXTERNAL_INTERRUPT,2000,719678,359.84
L1,Lttng,1_10000,IO_INSTRUCTION,150,641345,4275.63
L1,Lttng,1_10000,EPT_MISCONFIG,45,74833,1662.96
L1,Lttng,1_10000,PAUSE_INSTRUCTION,30,20558,685.27
L1,Lttng,1_10000,CPUID,35,11284,322.4
L1,Lttng,1_10000,PENDING_INTERRUPT,22,6703,304.68
L1,Lttng,1_10000,MSR_READ,1,484,484.0
L1,Lttng,1_10000,EXCEPTION_NMI,1,185,185.0
L1,Lttng,1_10000,VMCALL,1,0,0.0
L1,Lttng,1_10000,HLT,246,21350683,86791.39
L1,Lttng,1_10000,MSR_WRITE,2275,992588,436.3
L1,Lttng,1_10000,PREEMPTION_TIMER,1784,934053,523.57
L1,Lttng,1_10000,IO_INSTRUCTION,152,563791,3709.15
L1,Lttng,1_10000,EXTERNAL_INTERRUPT,1796,533034,296.79
L1,Lttng,1_10000,EPT_MISCONFIG,39,54725,1403.21
L1,Lttng,1_10000,CPUID,35,11853,338.66
L1,Lttng,1_10000,PENDING_INTERRUPT,21,7143,340.14
L1,Lttng,1_10000,PAUSE_INSTRUCTION,15,4085,272.33
L1,Lttng,1_10000,MSR_READ,2,1120,560.0
L1,Lttng,1_10000,VMCALL,1,0,0.0
L1,Lttng,1_10000,HLT,249,215224489,864355.38
L1,Lttng,1_10000,MSR_WRITE,2291,913816,398.87
L1,Lttng,1_10000,PREEMPTION_TIMER,1791,907533,506.72
L1,Lttng,1_10000,EXTERNAL_INTERRUPT,1859,632568,340.27
L1,Lttng,1_10000,IO_INSTRUCTION,150,628137,4187.58
L1,Lttng,1_10000,EPT_MISCONFIG,39,60671,1555.67
L1,Lttng,1_10000,CPUID,35,12780,365.14
L1,Lttng,1_10000,PAUSE_INSTRUCTION,23,6154,267.57
L1,Lttng,1_10000,PENDING_INTERRUPT,15,4768,317.87
L1,Lttng,1_10000,MSR_READ,1,480,480.0
L1,Lttng,1_10000,VMCALL,1,0,0.0
L1,Lttng,1_10000,HLT,320,225514205,704731.89
L1,Lttng,1_10000,MSR_WRITE,2533,1139934,450.03
L1,Lttng,1_10000,PREEMPTION_TIMER,1762,927061,526.14
L1,Lttng,1_10000,IO_INSTRUCTION,150,675173,4501.15
L1,Lttng,1_10000,EXTERNAL_INTERRUPT,1803,428514,237.67
L1,Lttng,1_10000,EPT_MISCONFIG,42,85554,2037.0
L1,Lttng,1_10000,CPUID,35,11652,332.91
L1,Lttng,1_10000,PENDING_INTERRUPT,30,10717,357.23
L1,Lttng,1_10000,PAUSE_INSTRUCTION,22,5483,249.23
L1,Lttng,1_10000,MSR_READ,1,522,522.0
L1,Lttng,1_10000,VMCALL,1,0,0.0
L1,Lttng,1_10000,HLT,313,220311629,703871.02
L1,Lttng,1_10000,MSR_WRITE,2533,1063478,419.85
L1,Lttng,1_10000,PREEMPTION_TIMER,1758,826177,469.95
L1,Lttng,1_10000,IO_INSTRUCTION,150,626273,4175.15
L1,Lttng,1_10000,EXTERNAL_INTERRUPT,1793,411750,229.64
L1,Lttng,1_10000,EPT_MISCONFIG,35,60102,1717.2
L1,Lttng,1_10000,PENDING_INTERRUPT,27,20900,774.07
L1,Lttng,1_10000,CPUID,35,11673,333.51
L1,Lttng,1_10000,PAUSE_INSTRUCTION,27,7090,262.59
L1,Lttng,1_10000,MSR_READ,1,577,577.0
L1,Lttng,1_10000,VMCALL,1,0,0.0
L1,Lttng,1_10000,HLT,288,211580541,734654.66
L1,Lttng,1_10000,EXTERNAL_INTERRUPT,1816,1901869,1047.28
L1,Lttng,1_10000,MSR_WRITE,2445,1027139,420.1
L1,Lttng,1_10000,PREEMPTION_TIMER,1813,808698,446.06
L1,Lttng,1_10000,IO_INSTRUCTION,150,479217,3194.78
L1,Lttng,1_10000,EPT_MISCONFIG,42,75976,1808.95
L1,Lttng,1_10000,CPUID,37,12841,347.05
L1,Lttng,1_10000,PAUSE_INSTRUCTION,26,6174,237.46
L1,Lttng,1_10000,MSR_READ,25,5300,212.0
L1,Lttng,1_10000,PENDING_INTERRUPT,10,4149,414.9
L1,Lttng,1_10000,EXCEPTION_NMI,1,238,238.0
