layer,tracer,workload,event,freq,total_event_cost,cost_per_event
L1,Lttng,1000,HLT,5136,1936008887,376948.77
L1,Lttng,1000,EPT_MISCONFIG,5057,6383674,1262.34
L1,Lttng,1000,MSR_WRITE,15822,5663820,357.97
L1,Lttng,1000,EXTERNAL_INTERRUPT,121,597411,4937.28
L1,Lttng,1000,CPUID,473,213803,452.01
L1,Lttng,1000,IO_INSTRUCTION,37,102805,2778.51
L1,Lttng,1000,PREEMPTION_TIMER,68,96313,1416.37
L1,Lttng,1000,PENDING_INTERRUPT,32,15756,492.38
L1,Lttng,1000,PAUSE_INSTRUCTION,4,1070,267.5
L1,Lttng,1000,HLT,5132,1887456842,367781.93
L1,Lttng,1000,EPT_MISCONFIG,5055,6466150,1279.16
L1,Lttng,1000,MSR_WRITE,16107,5455261,338.69
L1,Lttng,1000,EXTERNAL_INTERRUPT,98,211982,2163.08
L1,Lttng,1000,CPUID,473,209876,443.71
L1,Lttng,1000,IO_INSTRUCTION,74,190517,2574.55
L1,Lttng,1000,PREEMPTION_TIMER,75,110736,1476.48
L1,Lttng,1000,PENDING_INTERRUPT,27,12837,475.44
L1,Lttng,1000,PAUSE_INSTRUCTION,8,2068,258.5
L1,Lttng,1000,HLT,5132,1919543215,374034.14
L1,Lttng,1000,EPT_MISCONFIG,5057,6348047,1255.3
L1,Lttng,1000,MSR_WRITE,16083,5334252,331.67
L1,Lttng,1000,CPUID,473,227460,480.89
L1,Lttng,1000,IO_INSTRUCTION,74,181566,2453.59
L1,Lttng,1000,EXTERNAL_INTERRUPT,101,158830,1572.57
L1,Lttng,1000,PREEMPTION_TIMER,65,91655,1410.08
L1,Lttng,1000,PENDING_INTERRUPT,37,17512,473.3
L1,Lttng,1000,PAUSE_INSTRUCTION,8,2067,258.38
L1,Lttng,100,HLT,557,480228767,862170.14
L1,Lttng,100,EPT_MISCONFIG,536,790891,1475.54
L1,Lttng,100,MSR_WRITE,1589,680748,428.41
L1,Lttng,100,CPUID,473,197161,416.83
L1,Lttng,100,EXTERNAL_INTERRUPT,70,135444,1934.91
L1,Lttng,100,PREEMPTION_TIMER,45,73830,1640.67
L1,Lttng,100,PENDING_INTERRUPT,8,5127,640.88
L1,Lttng,100,HLT,564,527871490,935942.36
L1,Lttng,100,EXTERNAL_INTERRUPT,74,880174,11894.24
L1,Lttng,100,EPT_MISCONFIG,539,787647,1461.31
L1,Lttng,100,MSR_WRITE,1819,758679,417.09
L1,Lttng,100,CPUID,473,211326,446.78
L1,Lttng,100,IO_INSTRUCTION,37,117619,3178.89
L1,Lttng,100,PREEMPTION_TIMER,43,91482,2127.49
L1,Lttng,100,PENDING_INTERRUPT,9,5598,622.0
L1,Lttng,100,PAUSE_INSTRUCTION,4,1071,267.75
L1,Lttng,100,HLT,560,531998031,949996.48
L1,Lttng,100,MSR_WRITE,1871,855566,457.28
L1,Lttng,100,EPT_MISCONFIG,538,805444,1497.11
L1,Lttng,100,EXTERNAL_INTERRUPT,65,278505,4284.69
