layer,tracing_enabled,type,freq,event
layer,tracing_enabled,type,freq,event
layer,tracing_enabled,type,freq,event
L2,0,trap,11821635,kvm_x86_entry
L2,0,trap,11821634,kvm_x86_exit
L2,0,exit_reason,4331050,MSR_WRITE
L2,0,exit_reason,2047899,IO_INSTRUCTION
L2,0,exit_reason,1215436,VMWRITE
L2,0,exit_reason,1146377,MSR_READ
L2,0,exit_reason,1146293,XSETBV
L2,0,exit_reason,1146293,VMRESUME
L2,0,exit_reason,653906,VMREAD
L2,0,exit_reason,52481,HLT
L2,0,exit_reason,45218,PENDING_INTERRUPT
L2,0,exit_reason,23479,EXTERNAL_INTERRUPT
L2,0,exit_reason,8741,PREEMPTION_TIMER
L2,0,exit_reason,3395,EPT_VIOLATION
L2,0,exit_reason,796,CPUID
L2,0,exit_reason,269,EPT_MISCONFIG
L2,0,exit_reason,1,EXCEPTION_NMI
L2,0,trap,5422935,kvm_x86_msr
L2,0,trap,2292624,kvm_mmu_get_page
L2,0,trap,2111475,kvm_fpu
L2,0,trap,1671636,kvm_mmu_paging_element
L2,0,trap,1171189,kvm_x86_nested_vmexit
L2,0,trap,1146293,kvm_x86_nested_vmexit_inject
L2,0,trap,1025427,kvm_userspace_exit
L2,0,trap,1025158,kvm_x86_pio
L2,0,trap,556932,kvm_mmu_pagetable_walk
L2,0,trap,553258,kvm_x86_emulate_insn
L2,0,trap,251313,kvm_set_irq
L2,0,trap,251313,kvm_x86_pic_set_irq
L2,0,trap,251313,kvm_ioapic_set_irq
L2,0,trap,60143,kvm_x86_apic_accept_irq
L2,0,trap,60142,kvm_x86_eoi
L2,0,trap,51699,kvm_x86_inj_virq
L2,0,trap,51423,kvm_x86_pv_eoi
L2,0,trap,8777,kvm_x86_apic
L2,0,trap,3395,kvm_x86_page_fault
L2,0,trap,435,kvm_mmio
L2,0,trap,400,kvm_x86_cpuid
L2,0,trap,269,kvm_x86_vcpu_match_mmio
L2,0,trap,218,kvm_mmu_walker_error
L2,0,trap,116,kvm_mmu_handle_mmio_page_fault
L2,0,trap,58,kvm_ack_irq
L2,0,trap,38,kvm_mmu_prepare_zap_page
