layer,tracing_enabled,type,freq,event
L1,0,trap,2136425,kvm_fpu
L1,0,trap,1653703,kvm_mmu_paging_element
L1,0,trap,1195334,kvm_x86_entry
L1,0,trap,1195333,kvm_x86_exit
L1,0,exit_reason,1020616,IO_INSTRUCTION
L1,0,exit_reason,119366,MSR_WRITE
L1,0,exit_reason,47331,HLT
L1,0,exit_reason,4896,EXTERNAL_INTERRUPT
L1,0,exit_reason,1220,PREEMPTION_TIMER
L1,0,exit_reason,1000,PENDING_INTERRUPT
L1,0,exit_reason,564,CPUID
L1,0,exit_reason,275,EPT_MISCONFIG
L1,0,exit_reason,60,MSR_READ
L1,0,exit_reason,4,EPT_VIOLATION
L1,0,exit_reason,1,EXCEPTION_NMI
L1,0,trap,1020867,kvm_userspace_exit
L1,0,trap,1020592,kvm_x86_pio
L1,0,trap,551055,kvm_mmu_pagetable_walk
L1,0,trap,550732,kvm_x86_emulate_insn
L1,0,trap,250277,kvm_set_irq
L1,0,trap,250277,kvm_ioapic_set_irq
L1,0,trap,250277,kvm_x86_pic_set_irq
L1,0,trap,119426,kvm_x86_msr
L1,0,trap,51824,kvm_x86_inj_virq
L1,0,trap,51821,kvm_x86_eoi
L1,0,trap,51821,kvm_x86_apic_accept_irq
L1,0,trap,51699,kvm_x86_pv_eoi
L1,0,trap,564,kvm_x86_cpuid
L1,0,trap,445,kvm_mmio
L1,0,trap,275,kvm_x86_vcpu_match_mmio
L1,0,trap,182,kvm_x86_apic
L1,0,trap,120,kvm_mmu_handle_mmio_page_fault
L1,0,trap,60,kvm_ack_irq
L1,0,trap,4,kvm_x86_page_fault
