hostname,time,speed,size,tracing_enabled
abder-pc,0.704913,726,512000,0
abder-pc,0.708333,723,512000,0
abder-pc,0.702309,729,512000,0
abder-pc,0.72811,703,512000,0
abder-pc,0.731499,700,512000,0
abder-pc,0.667378,767,512000,0
abder-pc,0.669205,765,512000,0
abder-pc,0.659634,776,512000,0
abder-pc,0.687013,745,512000,0
abder-pc,0.693268,739,512000,0
abder-pc,0.716004,715,512000,0
abder-pc,0.717246,714,512000,0
abder-pc,0.678099,755,512000,0
abder-pc,0.703157,728,512000,0
abder-pc,0.712676,718,512000,0
abder-pc,0.697186,734,512000,0
abder-pc,0.680539,752,512000,0
abder-pc,0.701028,730,512000,0
abder-pc,0.727995,703,512000,0
abder-pc,0.69125,741,512000,0
abder-pc,0.719352,712,512000,0
abder-pc,1.81934,281,512000,0
abder-pc,0.726233,705,512000,0
abder-pc,0.701093,730,512000,0
abder-pc,0.741124,691,512000,0
abder-pc,0.730404,701,512000,0
abder-pc,0.701718,730,512000,0
abder-pc,0.696417,735,512000,0
abder-pc,0.728349,703,512000,0
abder-pc,0.712284,719,512000,0
abder-pc,1.68976,303,512000,1
abder-pc,1.48084,346,512000,1
abder-pc,0.701761,730,512000,1
abder-pc,0.708664,722,512000,1
abder-pc,0.722437,709,512000,1
abder-pc,1.32112,388,512000,1
abder-pc,0.739125,693,512000,1
abder-pc,0.715318,716,512000,1
abder-pc,0.729734,702,512000,1
abder-pc,0.689518,743,512000,1
abder-pc,0.712733,718,512000,1
abder-pc,0.718615,712,512000,1
abder-pc,0.716859,714,512000,1
abder-pc,0.733475,698,512000,1
abder-pc,0.634921,806,512000,1
abder-pc,0.737458,694,512000,1
abder-pc,0.710548,721,512000,1
abder-pc,0.681154,752,512000,1
abder-pc,0.702197,729,512000,1
abder-pc,0.701619,730,512000,1
abder-pc,1.44431,354,512000,1
abder-pc,1.2493,410,512000,1
abder-pc,0.688015,744,512000,1
abder-pc,0.735521,696,512000,1
abder-pc,0.70361,728,512000,1
abder-pc,0.708997,722,512000,1
abder-pc,0.712245,719,512000,1
abder-pc,0.732577,699,512000,1
abder-pc,0.718572,713,512000,1
abder-pc,0.675624,758,512000,1
vm1,1.33759,383,512000,0
vm1,1.28351,399,512000,0
vm1,1.49326,343,512000,0
vm1,1.30126,393,512000,0
vm1,1.33129,385,512000,0
vm1,1.309,391,512000,0
vm1,1.31036,391,512000,0
vm1,1.31759,389,512000,0
vm1,1.3073,392,512000,0
vm1,1.29662,395,512000,0
vm1,1.2044,425,512000,0
vm1,1.24965,410,512000,0
vm1,1.24553,411,512000,0
vm1,1.32734,386,512000,0
vm1,1.33192,384,512000,0
vm1,1.32136,387,512000,0
vm1,1.30025,394,512000,0
vm1,1.29108,397,512000,0
vm1,1.28895,397,512000,0
vm1,1.51299,338,512000,0
vm1,1.27229,402,512000,0
vm1,1.3188,388,512000,0
vm1,1.2682,404,512000,0
vm1,1.32504,386,512000,0
vm1,1.33378,384,512000,0
vm1,1.29344,396,512000,0
vm1,1.28038,400,512000,0
vm1,1.26322,405,512000,0
vm1,1.25043,409,512000,0
vm1,1.20356,425,512000,0
vm1,1.33235,384,512000,0
vm1,1.29481,395,512000,0
vm1,1.30054,394,512000,0
vm1,1.21491,421,512000,0
vm1,1.25839,407,512000,0
vm1,1.2225,419,512000,0
vm1,1.24772,410,512000,0
vm1,1.19525,428,512000,0
vm1,1.23091,416,512000,0
vm1,1.20811,424,512000,0
vm1,1.46311,350,512000,0
vm1,1.18409,432,512000,0
vm1,1.22706,417,512000,0
vm1,1.23071,416,512000,0
vm1,1.2315,416,512000,0
vm1,1.19087,430,512000,0
vm1,1.25231,409,512000,0
vm1,1.21188,422,512000,0
vm1,1.21292,422,512000,0
vm1,1.22232,419,512000,0
vm1,1.22608,418,512000,0
vm1,1.22917,417,512000,0
vm1,1.18423,432,512000,0
vm1,1.20776,424,512000,0
vm1,1.2358,414,512000,0
vm1,1.19962,427,512000,0
vm1,1.22504,418,512000,0
vm1,1.23936,413,512000,0
vm1,1.3131,390,512000,0
vm1,1.2889,397,512000,0
vm1,2.24348,228,512000,1
vm1,1.42263,360,512000,1
vm1,1.75776,291,512000,1
vm1,1.42778,359,512000,1
vm1,1.48689,344,512000,1
vm1,1.40081,366,512000,1
vm1,1.38648,369,512000,1
vm1,1.40812,364,512000,1
vm1,1.65222,310,512000,1
vm1,1.58507,323,512000,1
vm1,1.62245,316,512000,1
vm1,1.40794,364,512000,1
vm1,1.5848,323,512000,1
vm1,1.575,325,512000,1
vm1,1.5729,326,512000,1
vm1,1.4179,361,512000,1
vm1,1.46039,351,512000,1
vm1,1.44479,354,512000,1
vm1,1.5192,337,512000,1
vm1,1.38989,368,512000,1
vm1,1.4232,360,512000,1
vm1,1.55001,330,512000,1
vm1,1.66396,308,512000,1
vm1,1.47791,346,512000,1
vm1,1.7789,288,512000,1
vm1,1.45536,352,512000,1
vm1,1.562,328,512000,1
vm1,1.60589,319,512000,1
vm1,1.42585,359,512000,1
vm1,1.58551,323,512000,1
vm1,1.60434,319,512000,1
vm1,1.45375,352,512000,1
vm1,1.51912,337,512000,1
vm1,1.56905,326,512000,1
vm1,1.56605,327,512000,1
vm1,1.59485,321,512000,1
vm1,1.58364,323,512000,1
vm1,1.55955,328,512000,1
vm1,1.62306,315,512000,1
vm1,1.39584,367,512000,1
vm1,1.52555,336,512000,1
vm1,1.6042,319,512000,1
vm1,1.59416,321,512000,1
vm1,1.57136,326,512000,1
vm1,1.58994,322,512000,1
vm1,1.60611,319,512000,1
vm1,1.57557,325,512000,1
vm1,1.78316,287,512000,1
vm1,1.54461,331,512000,1
vm1,1.53767,333,512000,1
vm1,1.55418,329,512000,1
vm1,1.55959,328,512000,1
vm1,1.42793,359,512000,1
vm1,1.42491,359,512000,1
vm1,1.60414,319,512000,1
vm1,1.60353,319,512000,1
vm1,1.60091,320,512000,1
vm1,1.58961,322,512000,1
vm1,1.59486,321,512000,1
vm1,1.57983,324,512000,1
nested-vm2,2.93335,175,512000,0
nested-vm2,2.93047,175,512000,0
nested-vm2,2.80597,182,512000,0
nested-vm2,2.77133,185,512000,0
nested-vm2,2.65456,193,512000,0
nested-vm2,2.71967,188,512000,0
nested-vm2,3.93833,130,512000,0
nested-vm2,2.90335,176,512000,0
nested-vm2,2.74082,187,512000,0
nested-vm2,3.09847,165,512000,0
nested-vm2,2.7803,184,512000,0
nested-vm2,4.16626,123,512000,0
nested-vm2,3.87438,132,512000,0
nested-vm2,2.78699,184,512000,0
nested-vm2,2.61221,196,512000,0
nested-vm2,2.75404,186,512000,0
nested-vm2,2.81335,182,512000,0
nested-vm2,3.09486,165,512000,0
nested-vm2,2.55613,200,512000,0
nested-vm2,2.82814,181,512000,0
nested-vm2,2.66544,192,512000,0
nested-vm2,2.55085,201,512000,0
nested-vm2,2.69633,190,512000,0
nested-vm2,2.79382,183,512000,0
nested-vm2,2.84227,180,512000,0
nested-vm2,2.70257,189,512000,0
nested-vm2,2.76091,185,512000,0
nested-vm2,2.93981,174,512000,0
nested-vm2,2.76759,185,512000,0
nested-vm2,2.72313,188,512000,0
nested-vm2,2.78212,184,512000,0
nested-vm2,3.15354,162,512000,0
nested-vm2,3.36281,152,512000,0
nested-vm2,4.4757,114,512000,0
nested-vm2,2.84028,180,512000,0
nested-vm2,2.62935,195,512000,0
nested-vm2,2.96174,173,512000,0
nested-vm2,3.03517,169,512000,0
nested-vm2,2.73238,187,512000,0
nested-vm2,2.80588,182,512000,0
nested-vm2,2.67721,191,512000,0
nested-vm2,2.68937,190,512000,0
nested-vm2,2.85263,179,512000,0
nested-vm2,2.92324,175,512000,0
nested-vm2,2.69432,190,512000,0
nested-vm2,2.62593,195,512000,0
nested-vm2,2.72745,188,512000,0
nested-vm2,2.66245,192,512000,0
nested-vm2,2.58985,198,512000,0
nested-vm2,2.6831,191,512000,0
nested-vm2,2.59988,197,512000,0
nested-vm2,2.98211,172,512000,0
nested-vm2,2.54608,201,512000,0
nested-vm2,2.97311,172,512000,0
nested-vm2,2.63634,194,512000,0
nested-vm2,2.80589,182,512000,0
nested-vm2,2.77272,185,512000,0
nested-vm2,3.04087,168,512000,0
nested-vm2,2.79745,183,512000,0
nested-vm2,2.95194,173,512000,0
nested-vm2,3.25321,157,512000,1
nested-vm2,2.95662,173,512000,1
nested-vm2,2.96537,173,512000,1
nested-vm2,3.56831,143,512000,1
nested-vm2,3.08611,166,512000,1
nested-vm2,3.15629,162,512000,1
nested-vm2,3.15439,162,512000,1
nested-vm2,3.42529,149,512000,1
nested-vm2,3.03566,169,512000,1
nested-vm2,2.98798,171,512000,1
nested-vm2,3.14151,163,512000,1
nested-vm2,3.40089,151,512000,1
nested-vm2,3.06482,167,512000,1
nested-vm2,3.25924,157,512000,1
nested-vm2,3.47913,147,512000,1
nested-vm2,3.18483,161,512000,1
nested-vm2,3.38168,151,512000,1
nested-vm2,3.16078,162,512000,1
nested-vm2,3.19405,160,512000,1
nested-vm2,3.26016,157,512000,1
nested-vm2,3.23013,159,512000,1
nested-vm2,3.11728,164,512000,1
nested-vm2,3.23488,158,512000,1
nested-vm2,3.08327,166,512000,1
nested-vm2,3.20184,160,512000,1
nested-vm2,3.39598,151,512000,1
nested-vm2,2.95726,173,512000,1
nested-vm2,2.99852,171,512000,1
nested-vm2,2.97072,172,512000,1
nested-vm2,2.98689,171,512000,1
nested-vm2,3.56003,144,512000,1
nested-vm2,3.01386,170,512000,1
nested-vm2,3.16556,162,512000,1
nested-vm2,3.2333,158,512000,1
nested-vm2,3.00632,170,512000,1
nested-vm2,3.02298,169,512000,1
nested-vm2,3.17921,161,512000,1
nested-vm2,2.99505,171,512000,1
nested-vm2,3.16954,162,512000,1
nested-vm2,3.28844,156,512000,1
nested-vm2,3.20694,160,512000,1
nested-vm2,3.31457,154,512000,1
nested-vm2,3.43089,149,512000,1
nested-vm2,3.42627,149,512000,1
nested-vm2,3.60836,142,512000,1
nested-vm2,2.95036,174,512000,1
nested-vm2,2.86484,179,512000,1
nested-vm2,3.02603,169,512000,1
nested-vm2,3.24808,158,512000,1
nested-vm2,3.57743,143,512000,1
nested-vm2,3.30095,155,512000,1
nested-vm2,3.20656,160,512000,1
nested-vm2,3.1887,161,512000,1
nested-vm2,3.12524,164,512000,1
nested-vm2,3.10377,165,512000,1
nested-vm2,2.87407,178,512000,1
nested-vm2,3.08402,166,512000,1
nested-vm2,2.99179,171,512000,1
nested-vm2,3.06623,167,512000,1
nested-vm2,3.33541,154,512000,1
