hostname,time,speed,size,tracing_enabled
L0,0.0070379,149,1048576,0
L0,0.00649445,161,1048576,0
L0,0.00671715,156,1048576,0
L0,0.00651337,161,1048576,0
L0,0.00637393,165,1048576,0
L0,0.00651864,161,1048576,0
L0,0.00625183,168,1048576,0
L0,0.0061587,170,1048576,0
L0,0.00636976,165,1048576,0
L0,0.00645863,162,1048576,0
L0,0.0065346,160,1048576,0
L0,0.00623294,168,1048576,0
L0,0.00670619,156,1048576,0
L0,0.00643323,163,1048576,0
L0,0.00645999,162,1048576,0
L0,0.00651766,161,1048576,0
L0,0.0064536,162,1048576,0
L0,0.006269,167,1048576,0
L0,0.00656444,160,1048576,0
L0,0.0066526,158,1048576,0
L0,0.00657442,159,1048576,0
L0,0.00601821,174,1048576,0
L0,0.00697006,150,1048576,0
L0,0.0286282,36.6,1048576,0
L0,0.00655388,160,1048576,0
L0,0.00661053,159,1048576,0
L0,0.00649683,161,1048576,0
L0,0.00617369,170,1048576,0
L0,0.00655633,160,1048576,0
L0,0.00650968,161,1048576,0
L0,0.00632109,166,1048576,1
L0,0.00665339,158,1048576,1
L0,0.00649944,161,1048576,1
L0,0.00674593,155,1048576,1
L0,0.00648634,162,1048576,1
L0,0.00650451,161,1048576,1
L0,0.00628832,167,1048576,1
L0,0.00666889,157,1048576,1
L0,0.00674433,155,1048576,1
L0,0.00671977,156,1048576,1
L0,0.00669189,157,1048576,1
L0,0.00637068,165,1048576,1
L0,0.0068479,153,1048576,1
L0,0.00685294,153,1048576,1
L0,0.00650965,161,1048576,1
L0,0.00727495,144,1048576,1
L0,0.0063594,165,1048576,1
L0,0.00732826,143,1048576,1
L0,0.0288249,36.4,1048576,1
L0,0.00689893,152,1048576,1
L0,0.00661835,158,1048576,1
L0,0.00616933,170,1048576,1
L0,0.00699934,150,1048576,1
L0,0.00682916,154,1048576,1
L0,0.00647483,162,1048576,1
L0,0.00648652,162,1048576,1
L0,0.00661232,159,1048576,1
L0,0.00661954,158,1048576,1
L0,0.00707772,148,1048576,1
L0,0.0065651,160,1048576,1
L1,0.00930817,113,1048576,0
L1,0.00828918,126,1048576,0
L1,0.00871248,120,1048576,0
L1,0.00870648,120,1048576,0
L1,0.00832791,126,1048576,0
L1,0.00852078,123,1048576,0
L1,0.00855616,123,1048576,0
L1,0.00829498,126,1048576,0
L1,0.00815582,129,1048576,0
L1,0.00853385,123,1048576,0
L1,0.00841121,125,1048576,0
L1,0.00840826,125,1048576,0
L1,0.00814138,129,1048576,0
L1,0.00877441,120,1048576,0
L1,0.0306422,34.2,1048576,0
L1,0.00863588,121,1048576,0
L1,0.00866194,121,1048576,0
L1,0.0085131,123,1048576,0
L1,0.00832747,126,1048576,0
L1,0.0084011,125,1048576,0
L1,0.00842374,124,1048576,0
L1,0.00850252,123,1048576,0
L1,0.0078804,133,1048576,0
L1,0.00858109,122,1048576,0
L1,0.00841716,125,1048576,0
L1,0.00845542,124,1048576,0
L1,0.00852116,123,1048576,0
L1,0.00868684,121,1048576,0
L1,0.00840161,125,1048576,0
L1,0.00873008,120,1048576,0
L1,0.0104631,100,1048576,1
L1,0.0116842,89.7,1048576,1
L1,0.0115625,90.7,1048576,1
L1,0.0113528,92.4,1048576,1
L1,0.0122393,85.7,1048576,1
L1,0.0118841,88.2,1048576,1
L1,0.0112135,93.5,1048576,1
L1,0.0115132,91.1,1048576,1
L1,0.011856,88.4,1048576,1
L1,0.0127264,82.4,1048576,1
L1,0.0115543,90.8,1048576,1
L1,0.0115354,90.9,1048576,1
L1,0.0117417,89.3,1048576,1
L1,0.0119517,87.7,1048576,1
L1,0.034354,30.5,1048576,1
L1,0.0115522,90.8,1048576,1
L1,0.0114444,91.6,1048576,1
L1,0.0119096,88.0,1048576,1
L1,0.0112089,93.5,1048576,1
L1,0.0131619,79.7,1048576,1
L1,0.0111955,93.7,1048576,1
L1,0.0117171,89.5,1048576,1
L1,0.0119221,88.0,1048576,1
L1,0.0113496,92.4,1048576,1
L1,0.0117496,89.2,1048576,1
L1,0.0116785,89.8,1048576,1
L1,0.0115417,90.9,1048576,1
L1,0.0111728,93.9,1048576,1
L1,0.0121933,86.0,1048576,1
L1,0.0117386,89.3,1048576,1
L2,0.00906846,116,1048576,0
L2,0.008857,118,1048576,0
L2,0.00851694,123,1048576,0
L2,0.010525,99.6,1048576,0
L2,0.00811466,129,1048576,0
L2,0.0106441,98.5,1048576,0
L2,0.00883689,119,1048576,0
L2,0.00889463,118,1048576,0
L2,0.0295655,35.5,1048576,0
L2,0.00907871,115,1048576,0
L2,0.00986698,106,1048576,0
L2,0.00861504,122,1048576,0
L2,0.00884458,119,1048576,0
L2,0.00829411,126,1048576,0
L2,0.00860571,122,1048576,0
L2,0.0107522,97.5,1048576,0
L2,0.00928108,113,1048576,0
L2,0.00919446,114,1048576,0
L2,0.00838316,125,1048576,0
L2,0.00860644,122,1048576,0
L2,0.00966897,108,1048576,0
L2,0.00884698,119,1048576,0
L2,0.00843425,124,1048576,0
L2,0.00855042,123,1048576,0
L2,0.0082607,127,1048576,0
L2,0.0107432,97.6,1048576,0
L2,0.00859183,122,1048576,0
L2,0.00869821,121,1048576,0
L2,0.00823054,127,1048576,0
L2,0.00867352,121,1048576,0
L2,0.0117482,89.3,1048576,1
L2,0.0128095,81.9,1048576,1
L2,0.0133607,78.5,1048576,1
L2,0.0136667,76.7,1048576,1
L2,0.013619,77.0,1048576,1
L2,0.0125886,83.3,1048576,1
L2,0.012733,82.4,1048576,1
L2,0.0137488,76.3,1048576,1
L2,0.0353016,29.7,1048576,1
L2,0.0138811,75.5,1048576,1
L2,0.0131442,79.8,1048576,1
L2,0.0130028,80.6,1048576,1
L2,0.0131625,79.7,1048576,1
L2,0.0140783,74.5,1048576,1
L2,0.0124876,84.0,1048576,1
L2,0.0138622,75.6,1048576,1
L2,0.0138463,75.7,1048576,1
L2,0.0134264,78.1,1048576,1
L2,0.0133782,78.4,1048576,1
L2,0.0136803,76.6,1048576,1
L2,0.0144302,72.7,1048576,1
L2,0.0144829,72.4,1048576,1
L2,0.0141525,74.1,1048576,1
L2,0.01513,69.3,1048576,1
L2,0.0141395,74.2,1048576,1
L2,0.0138786,75.6,1048576,1
L2,0.0135944,77.1,1048576,1
L2,0.0379497,27.6,1048576,1
L2,0.0267867,39.1,1048576,1
L2,0.384559,2.7,1048576,1
L3,0.0590305,8.9,524288,0
