hostname,time,speed,size,tracing_enabled
abder-pc,0.0043897,117,512000,0
abder-pc,0.00357621,143,512000,0
abder-pc,0.00378753,135,512000,0
abder-pc,0.00391986,131,512000,0
abder-pc,0.00380279,135,512000,0
abder-pc,0.0035806,143,512000,0
abder-pc,0.00348821,147,512000,0
abder-pc,0.00372101,138,512000,0
abder-pc,0.00374738,137,512000,0
abder-pc,0.00365397,140,512000,0
abder-pc,0.00355111,144,512000,0
abder-pc,0.00378267,135,512000,0
abder-pc,0.00371674,138,512000,0
abder-pc,0.00374169,137,512000,0
abder-pc,0.00353677,145,512000,0
abder-pc,0.00366887,140,512000,0
abder-pc,0.0037267,137,512000,0
abder-pc,0.00366418,140,512000,0
abder-pc,0.00411364,124,512000,0
abder-pc,0.00395556,129,512000,0
abder-pc,0.00374759,137,512000,0
abder-pc,0.00365453,140,512000,0
abder-pc,0.00391822,131,512000,0
abder-pc,0.00362163,141,512000,0
abder-pc,0.00357294,143,512000,0
abder-pc,0.00383205,134,512000,0
abder-pc,0.00350826,146,512000,0
abder-pc,0.00359018,143,512000,0
abder-pc,0.00356698,144,512000,0
abder-pc,0.00333523,154,512000,0
abder-pc,0.0037212,138,512000,1
abder-pc,0.00456264,112,512000,1
abder-pc,0.00378522,135,512000,1
abder-pc,0.00415448,123,512000,1
abder-pc,0.00416516,123,512000,1
abder-pc,0.00390834,131,512000,1
abder-pc,0.00399642,128,512000,1
abder-pc,0.00372547,137,512000,1
abder-pc,0.00441223,116,512000,1
abder-pc,0.00396555,129,512000,1
abder-pc,0.00382241,134,512000,1
abder-pc,0.00413376,124,512000,1
abder-pc,0.00426519,120,512000,1
abder-pc,0.00440879,116,512000,1
abder-pc,0.00378421,135,512000,1
abder-pc,0.0264301,19.4,512000,1
abder-pc,0.0153951,33.3,512000,1
abder-pc,0.023622,21.7,512000,1
abder-pc,0.606164,845,512000,1
abder-pc,0.00397307,129,512000,1
abder-pc,0.00392148,131,512000,1
abder-pc,0.00379118,135,512000,1
abder-pc,0.00408121,125,512000,1
abder-pc,0.00390275,131,512000,1
abder-pc,0.00420126,122,512000,1
abder-pc,0.00370414,138,512000,1
abder-pc,0.00395261,130,512000,1
abder-pc,0.00404404,127,512000,1
abder-pc,0.00410111,125,512000,1
abder-pc,0.00372968,137,512000,1
vm1,0.00561854,91.1,512000,0
vm1,0.00542688,94.3,512000,0
vm1,0.00519976,98.5,512000,0
vm1,0.0052549,97.4,512000,0
vm1,0.00536562,95.4,512000,0
vm1,0.00506062,101,512000,0
vm1,0.00521155,98.2,512000,0
vm1,0.00479502,107,512000,0
vm1,0.00483291,106,512000,0
vm1,0.00515929,99.2,512000,0
vm1,0.00513782,99.7,512000,0
vm1,0.00519576,98.5,512000,0
vm1,0.00507292,101,512000,0
vm1,0.00519605,98.5,512000,0
vm1,0.00511234,100,512000,0
vm1,0.00491708,104,512000,0
vm1,0.00491566,104,512000,0
vm1,0.00512731,99.9,512000,0
vm1,0.00515017,99.4,512000,0
vm1,0.00535359,95.6,512000,0
vm1,0.0050621,101,512000,0
vm1,0.00511643,100,512000,0
vm1,0.00505801,101,512000,0
vm1,0.00493963,104,512000,0
vm1,0.00518743,98.7,512000,0
vm1,0.0050308,102,512000,0
vm1,0.00528243,96.9,512000,0
vm1,0.0048553,105,512000,0
vm1,0.00511692,100,512000,0
vm1,0.00505109,101,512000,0
vm1,0.00596131,85.9,512000,1
vm1,0.00640585,79.9,512000,1
vm1,0.00564434,90.7,512000,1
vm1,0.00562873,91.0,512000,1
vm1,0.00615855,83.1,512000,1
vm1,0.00568821,90.0,512000,1
vm1,0.00605755,84.5,512000,1
vm1,0.00600496,85.3,512000,1
vm1,0.00610029,83.9,512000,1
vm1,0.00593178,86.3,512000,1
vm1,0.00589777,86.8,512000,1
vm1,0.00507058,101,512000,1
vm1,0.00470414,109,512000,1
vm1,0.00618523,82.8,512000,1
vm1,0.0058698,87.2,512000,1
vm1,0.00578997,88.4,512000,1
vm1,0.00590424,86.7,512000,1
vm1,0.00581371,88.1,512000,1
vm1,0.00615803,83.1,512000,1
vm1,0.00593716,86.2,512000,1
vm1,0.00622946,82.2,512000,1
vm1,0.0292887,17.5,512000,1
vm1,0.00574772,89.1,512000,1
vm1,0.00593862,86.2,512000,1
vm1,0.00609461,84.0,512000,1
vm1,0.00594584,86.1,512000,1
vm1,0.0061508,83.2,512000,1
vm1,0.00589058,86.9,512000,1
vm1,0.00631862,81.0,512000,1
vm1,0.00593955,86.2,512000,1
nested-vm2,0.017988,28.5,512000,0
nested-vm2,0.00895941,57.1,512000,0
nested-vm2,0.00853181,60.0,512000,0
nested-vm2,0.0438716,11.7,512000,0
nested-vm2,0.00849613,60.3,512000,0
nested-vm2,0.00868088,59.0,512000,0
nested-vm2,0.0085262,60.1,512000,0
nested-vm2,0.00833916,61.4,512000,0
nested-vm2,0.00847714,60.4,512000,0
nested-vm2,0.00848325,60.4,512000,0
nested-vm2,0.0086865,58.9,512000,0
nested-vm2,0.00840944,60.9,512000,0
nested-vm2,0.0104181,49.1,512000,0
nested-vm2,0.00810009,63.2,512000,0
nested-vm2,0.00796203,64.3,512000,0
nested-vm2,0.00826576,61.9,512000,0
nested-vm2,0.00831053,61.6,512000,0
nested-vm2,0.00837864,61.1,512000,0
nested-vm2,0.00819128,62.5,512000,0
nested-vm2,0.00805549,63.6,512000,0
nested-vm2,0.00815871,62.8,512000,0
nested-vm2,0.00799698,64.0,512000,0
nested-vm2,0.00808445,63.3,512000,0
nested-vm2,0.00820498,62.4,512000,0
nested-vm2,0.00820623,62.4,512000,0
nested-vm2,0.00850205,60.2,512000,0
nested-vm2,0.00832245,61.5,512000,0
nested-vm2,0.00814141,62.9,512000,0
nested-vm2,0.00788041,65.0,512000,0
nested-vm2,0.00799479,64.0,512000,0
nested-vm2,0.00909208,56.3,512000,1
nested-vm2,0.01029,49.8,512000,1
nested-vm2,0.010442,49.0,512000,1
nested-vm2,0.00959792,53.3,512000,1
nested-vm2,0.01168,43.8,512000,1
nested-vm2,0.00986387,51.9,512000,1
nested-vm2,0.0104792,48.9,512000,1
nested-vm2,0.0098532,52.0,512000,1
nested-vm2,0.0103976,49.2,512000,1
nested-vm2,0.0102611,49.9,512000,1
nested-vm2,0.0117129,43.7,512000,1
nested-vm2,0.0120207,42.6,512000,1
nested-vm2,0.0101494,50.4,512000,1
nested-vm2,0.00944165,54.2,512000,1
nested-vm2,0.00990675,51.7,512000,1
nested-vm2,0.0101115,50.6,512000,1
nested-vm2,0.00962399,53.2,512000,1
nested-vm2,0.00907693,56.4,512000,1
nested-vm2,0.00988821,51.8,512000,1
nested-vm2,0.0416764,12.3,512000,1
nested-vm2,0.0197015,26.0,512000,1
nested-vm2,0.00932625,54.9,512000,1
nested-vm2,0.00950865,53.8,512000,1
nested-vm2,0.00922333,55.5,512000,1
nested-vm2,0.00913158,56.1,512000,1
nested-vm2,0.00939967,54.5,512000,1
nested-vm2,0.00996478,51.4,512000,1
nested-vm2,0.00955488,53.6,512000,1
nested-vm2,0.00980764,52.2,512000,1
nested-vm2,0.00930022,55.1,512000,1
