buffer size bytes, througthput Gbits/s, transfered data MB
80,55.50,512.00
80,57.28,512.00
80,57.38,512.00
80,57.13,512.00
80,57.22,512.00
80,57.06,512.00
80,56.97,512.00
80,56.89,512.00
80,57.24,512.00
80,58.01,512.00
320,65.51,512.00
320,65.38,512.00
320,65.47,512.00
320,65.49,512.00
320,65.28,512.00
320,65.87,512.00
320,65.20,512.00
320,65.42,512.00
320,65.26,512.00
320,64.96,512.00
640,64.77,512.00
640,65.18,512.00
640,65.16,512.00
640,65.48,512.00
640,65.07,512.00
640,64.86,512.00
640,64.76,512.00
640,65.84,512.00
640,64.73,512.00
640,65.34,512.00
1024,63.61,512.00
1024,62.85,512.00
1024,62.96,512.00
1024,63.12,512.00
1024,61.77,512.00
1024,62.17,512.00
1024,63.56,512.00
1024,59.44,512.00
1024,62.69,512.00
1024,63.03,512.00
4096,69.13,512.00
4096,67.92,512.00
4096,67.92,512.00
4096,68.26,512.00
4096,68.02,512.00
4096,70.21,512.00
4096,69.42,512.00
4096,68.64,512.00
4096,68.91,512.00
4096,68.44,512.00
8182,70.16,512.01
8182,68.28,512.01
8182,68.50,512.01
8182,69.21,512.01
8182,68.87,512.01
8182,69.38,512.01
8182,70.62,512.01
8182,69.88,512.01
8182,71.37,512.01
8182,70.78,512.01
16384,91.35,512.00
16384,91.07,512.00
16384,90.65,512.00
16384,91.79,512.00
16384,91.63,512.00
16384,92.74,512.00
16384,93.11,512.00
16384,93.36,512.00
16384,92.37,512.00
16384,91.43,512.00
32768,79.69,512.00
32768,79.48,512.00
32768,80.05,512.00
32768,77.79,512.00
32768,79.55,512.00
32768,78.29,512.00
32768,79.34,512.00
32768,79.64,512.00
32768,80.18,512.00
32768,80.27,512.00
65536,79.77,512.03
65536,79.83,512.03
65536,78.11,512.03
65536,77.82,512.03
65536,77.97,512.03
65536,79.75,512.03
65536,79.22,512.03
65536,79.74,512.03
65536,78.02,512.03
65536,76.93,512.03
1024000,74.17,512.00
1024000,73.53,512.00
1024000,77.49,512.00
1024000,77.56,512.00
1024000,75.54,512.00
1024000,74.86,512.00
1024000,77.54,512.00
1024000,77.85,512.00
1024000,77.86,512.00
1024000,78.17,512.00
