iteration,ns
0,303
1,113
2,106
3,93
4,97
5,103
6,112
7,114
8,97
9,97
10,103
11,111
12,108
13,101
14,101
15,100
16,91
17,114
18,83
19,86
20,84
21,82
22,83
23,81
24,79
25,85
26,86
27,84
28,82
29,81
30,80
31,80
32,87
33,82
34,79
35,80
36,85
37,78
38,83
39,81
40,79
41,78
42,84
43,80
44,77
45,83
46,82
47,79
48,79
49,81
50,84
51,84
52,82
53,79
54,79
55,76
56,81
57,78
58,79
59,83
60,82
61,81
62,79
63,78
64,78
65,79
66,78
67,82
68,83
69,79
70,79
71,78
72,79
73,81
74,79
75,79
76,82
77,83
78,80
79,82
80,79
81,80
82,86
83,78
84,76
85,83
86,84
87,79
88,79
89,84
90,79
91,83
92,82
93,82
94,86
95,77
96,77
97,82
98,83
99,84
100,82
101,81
102,78
103,75
104,79
105,82
106,76
107,81
108,83
109,83
110,78
111,79
112,80
113,79
114,83
115,77
116,79
117,78
118,81
119,75
120,79
121,82
122,78
123,79
124,85
125,79
126,78
127,83
128,79
129,78
130,81
131,79
132,82
133,78
134,82
135,79
136,82
137,83
138,78
139,76
140,83
141,84
142,83
143,82
144,83
145,81
146,85
147,79
148,76
149,85
150,85
151,79
152,78
153,79
154,84
155,79
156,79
157,76
158,79
159,77
160,79
161,77
162,81
163,79
164,84
165,84
166,83
167,78
168,83
169,79
170,77
171,82
172,78
173,80
174,76
175,83
176,80
177,82
178,82
179,80
180,79
181,83
182,83
183,83
184,85
185,77
186,83
187,78
188,83
189,77
190,81
191,77
192,82
193,79
194,82
195,76
196,81
197,79
198,79
199,82
200,83
201,78
202,79
203,81
204,76
205,83
206,80
207,78
208,80
209,79
210,79
211,83
212,83
213,83
214,77
215,80
216,76
217,82
218,77
219,81
220,91
221,98
222,98
223,85
224,89
225,86
226,79
227,79
228,83
229,82
230,81
231,75
232,76
233,80
234,84
235,81
236,80
237,81
238,81
239,83
240,78
241,82
242,79
243,81
244,85
245,76
246,79
247,80
248,5881
249,88
250,89
251,94
252,88
253,89
254,96
255,87
256,94
257,93
258,94
259,87
260,91
261,90
262,95
263,93
264,86
265,93
266,84
267,92
268,90
269,91
270,91
271,83
272,91
273,95
274,90
275,94
276,92
277,91
278,90
279,94
280,93
281,88
282,91
283,92
284,89
285,97
286,96
287,89
288,90
289,88
290,88
291,91
292,89
293,90
294,91
295,90
296,89
297,91
298,94
299,87
300,95
301,94
302,88
303,86
304,92
305,89
306,83
307,88
308,96
309,88
310,93
311,89
312,90
313,90
314,94
315,88
316,93
317,94
318,93
319,89
320,93
321,89
322,95
323,94
324,88
325,84
326,89
327,88
328,91
329,89
330,92
331,89
332,93
333,90
334,83
335,90
336,95
337,94
338,93
339,88
340,91
341,93
342,91
343,94
344,89
345,86
346,89
347,93
348,85
349,92
350,93
351,93
352,84
353,92
354,91
355,91
356,90
357,87
358,91
359,90
360,85
361,94
362,88
363,89
364,94
365,93
366,86
367,95
368,91
369,94
370,20
371,19
372,19
373,19
374,19
375,19
376,18
377,18
378,18
379,20
380,19
381,19
382,20
383,19
384,17
385,20
386,18
387,18
388,18
389,19
390,17
391,18
392,18
393,19
394,17
395,18
396,19
397,19
398,19
399,20
400,20
401,20
402,19
403,20
404,19
405,19
406,18
407,18
408,18
409,18
410,19
411,18
412,18
413,19
414,18
415,18
416,18
417,18
418,20
419,18
420,20
421,19
422,18
423,18
424,20
425,21
426,20
427,20
428,18
429,18
430,20
431,20
432,20
433,20
434,30
435,23
436,19
437,17
438,19
439,18
440,18
441,18
442,19
443,18
444,19
445,16
446,19
447,18
448,19
449,18
450,21
451,20
452,18
453,16
454,19
455,18
456,19
457,19
458,21
459,19
460,17
461,16
462,20
463,17
464,18
465,18
466,18
467,19
468,18
469,19
470,18
471,18
472,20
473,20
474,20
475,19
476,20
477,19
478,19
479,20
480,19
481,19
482,18
483,18
484,19
485,19
486,19
487,19
488,19
489,19
490,18
491,18
492,19
493,19
494,17
495,19
496,18
497,19
498,18
499,20
500,19
501,19
502,19
503,20
504,20
505,18
506,20
507,20
508,19
509,20
510,18
511,18
512,20
513,17
514,18
515,19
516,19
517,18
518,19
519,18
520,20
521,19
522,19
523,19
524,20
525,19
526,18
527,20
528,19
529,19
530,20
531,19
532,20
533,20
534,20
535,19
536,19
537,18
538,18
539,19
540,19
541,18
542,20
543,21
544,18
545,19
546,18
547,19
548,18
549,19
550,18
551,18
552,20
553,19
554,20
555,20
556,19
557,20
558,19
559,19
560,18
561,18
562,19
563,18
564,18
565,20
566,20
567,19
568,18
569,19
570,18
571,17
572,18
573,18
574,18
575,19
576,19
577,20
578,19
579,19
580,18
581,20
582,17
583,19
584,19
585,17
586,19
587,20
588,19
589,18
590,19
591,20
592,20
593,20
594,20
595,19
596,20
597,19
598,18
599,19
600,19
601,19
602,18
603,19
604,17
605,19
606,18
607,16
608,20
609,18
610,20
611,19
612,20
613,19
614,19
615,19
616,20
617,19
618,20
619,19
620,20
621,19
622,20
623,20
624,19
625,18
626,19
627,18
628,19
629,19
630,18
631,19
632,20
633,19
634,20
635,19
636,19
637,20
638,18
639,18
640,19
641,19
642,20
643,18
644,20
645,17
646,21
647,20
648,17
649,19
650,19
651,20
652,20
653,19
654,18
655,19
656,19
657,20
658,19
659,19
660,17
661,19
662,17
663,19
664,17
665,20
666,19
667,19
668,19
669,19
670,18
671,19
672,19
673,19
674,18
675,20
676,19
677,20
678,19
679,19
680,16
681,20
682,18
683,20
684,19
685,19
686,19
687,19
688,18
689,21
690,18
691,19
692,18
693,20
694,18
695,21
696,19
697,17
698,19
699,20
700,19
701,20
702,19
703,18
704,20
705,19
706,20
707,19
708,19
709,20
710,20
711,18
712,19
713,20
714,18
715,19
716,18
717,20
718,19
719,19
720,19
721,19
722,19
723,18
724,18
725,18
726,18
727,19
728,20
729,19
730,19
731,20
732,20
733,19
734,19
735,19
736,17
737,19
738,20
739,19
740,18
741,19
742,19
743,19
744,16
745,19
746,18
747,19
748,18
749,20
750,20
751,19
752,18
753,19
754,19
755,19
756,20
757,20
758,20
759,19
760,19
761,20
762,19
763,20
764,19
765,18
766,18
767,18
768,17
769,19
770,19
771,19
772,19
773,18
774,17
775,20
776,20
777,20
778,19
779,20
780,19
781,20
782,19
783,18
784,18
785,19
786,20
787,20
788,19
789,20
790,18
791,19
792,19
793,21
794,19
795,18
796,18
797,17
798,19
799,18
800,19
801,18
802,19
803,19
804,18
805,19
806,19
807,18
808,19
809,18
810,20
811,20
812,20
813,17
814,20
815,19
816,20
817,18
818,19
819,19
820,18
821,19
822,17
823,19
824,19
825,19
826,18
827,20
828,20
829,19
830,19
831,20
832,18
833,20
834,19
835,18
836,20
837,19
838,19
839,20
840,19
841,20
842,17
843,18
844,19
845,19
846,18
847,18
848,19
849,18
850,20
851,19
852,18
853,20
854,18
855,19
856,19
857,20
858,20
859,19
860,19
861,20
862,20
863,19
864,19
865,17
866,19
867,20
868,19
869,20
870,19
871,20
872,18
873,19
874,18
875,19
876,20
877,20
878,20
879,20
880,20
881,16
882,21
883,19
884,19
885,18
886,19
887,19
888,19
889,18
890,20
891,20
892,19
893,19
894,20
895,20
896,20
897,20
898,21
899,20
900,19
901,20
902,20
903,19
904,19
905,19
906,20
907,18
908,20
909,20
910,19
911,19
912,19
913,18
914,19
915,20
916,19
917,19
918,19
919,18
920,20
921,18
922,19
923,19
924,20
925,19
926,20
927,20
928,19
929,21
930,20
931,19
932,19
933,18
934,20
935,17
936,21
937,20
938,19
939,19
940,20
941,18
942,20
943,18
944,20
945,19
946,19
947,19
948,19
949,20
950,19
951,19
952,17
953,18
954,20
955,18
956,18
957,20
958,20
959,20
960,20
961,16
962,18
963,20
964,19
965,18
966,19
967,19
968,19
969,17
970,19
971,19
972,19
973,18
974,19
975,20
976,19
977,18
978,19
979,19
980,17
981,17
982,19
983,20
984,20
985,19
986,19
987,18
988,19
989,19
990,19
991,20
992,20
993,20
994,19
995,19
996,19
997,19
998,20
999,19
1000,19
1001,19
1002,19
1003,17
1004,17
1005,20
1006,19
1007,17
1008,20
1009,20
1010,19
1011,19
1012,19
1013,19
1014,19
1015,19
1016,20
1017,18
1018,18
1019,19
1020,20
1021,19
1022,18
1023,19
1024,19
1025,18
1026,20
1027,19
1028,19
1029,19
1030,20
1031,19
1032,18
1033,19
1034,18
1035,18
1036,19
1037,18
1038,20
1039,20
1040,20
1041,19
1042,19
1043,20
1044,19
1045,20
1046,19
1047,19
1048,17
1049,19
1050,20
1051,20
1052,19
1053,20
1054,17
1055,19
1056,19
1057,17
1058,19
1059,20
1060,19
1061,19
1062,19
1063,19
1064,20
1065,20
1066,19
1067,19
1068,20
1069,20
1070,17
1071,20
1072,18
1073,18
1074,19
1075,21
1076,19
1077,19
1078,19
1079,19
1080,19
1081,18
1082,20
1083,20
1084,19
1085,19
1086,18
1087,20
1088,18
1089,19
1090,19
1091,20
1092,18
1093,20
1094,19
1095,19
1096,18
1097,20
1098,18
1099,18
1100,19
1101,18
1102,20
1103,19
1104,21
1105,20
1106,19
1107,19
1108,19
1109,20
1110,19
1111,18
1112,19
1113,20
1114,19
1115,20
1116,19
1117,19
1118,19
1119,20
1120,18
1121,20
1122,20
1123,19
1124,20
1125,18
1126,19
1127,19
1128,18
1129,19
1130,18
1131,18
1132,20
1133,19
1134,20
1135,20
1136,18
1137,20
1138,19
1139,18
1140,19
1141,19
1142,19
1143,19
1144,19
1145,20
1146,18
1147,20
1148,19
1149,19
1150,20
1151,18
1152,18
1153,19
1154,18
1155,20
1156,20
1157,19
1158,20
1159,18
1160,20
1161,20
1162,18
1163,18
1164,18
1165,18
1166,20
1167,18
1168,19
1169,19
1170,19
1171,18
1172,20
1173,20
1174,19
1175,18
1176,18
1177,18
1178,20
1179,20
1180,19
1181,20
1182,20
1183,20
1184,20
1185,18
1186,19
1187,20
1188,20
1189,19
1190,20
1191,19
1192,17
1193,19
1194,19
1195,19
1196,18
1197,20
1198,20
1199,18
1200,20
1201,19
1202,19
1203,19
1204,20
1205,19
1206,19
1207,18
1208,19
1209,17
1210,18
1211,20
1212,17
1213,19
1214,18
1215,18
1216,19
1217,18
1218,19
1219,19
1220,18
1221,19
1222,20
1223,18
1224,21
1225,19
1226,19
1227,20
1228,20
1229,19
1230,18
1231,18
1232,20
1233,19
1234,19
1235,19
1236,19
1237,19
1238,19
1239,19
1240,19
1241,19
1242,19
1243,18
1244,19
1245,18
1246,19
1247,18
1248,19
1249,19
1250,20
1251,19
1252,20
1253,19
1254,19
1255,19
1256,19
1257,19
1258,18
1259,20
1260,19
1261,20
1262,19
1263,20
1264,19
1265,17
1266,19
1267,20
1268,18
1269,20
1270,19
1271,18
1272,1281
1273,19
1274,18
1275,19
1276,19
1277,19
1278,20
1279,19
1280,20
1281,19
1282,19
1283,18
1284,19
1285,19
1286,19
1287,19
1288,19
1289,18
1290,18
1291,19
1292,19
1293,21
1294,18
1295,20
1296,20
1297,18
1298,19
1299,19
1300,19
1301,20
1302,20
1303,19
1304,18
1305,20
1306,20
1307,18
1308,20
1309,18
1310,18
1311,19
1312,20
1313,18
1314,21
1315,20
1316,18
1317,21
1318,20
1319,17
1320,18
1321,18
1322,18
1323,18
1324,20
1325,20
1326,19
1327,20
1328,20
1329,19
1330,19
1331,19
1332,18
1333,20
1334,19
1335,19
1336,20
1337,19
1338,19
1339,19
1340,19
1341,20
1342,20
1343,17
1344,18
1345,19
1346,18
1347,19
1348,19
1349,20
1350,18
1351,20
1352,19
1353,19
1354,17
1355,18
1356,19
1357,19
1358,19
1359,19
1360,18
1361,20
1362,19
1363,19
1364,18
1365,19
1366,20
1367,20
1368,20
1369,19
1370,19
1371,20
1372,20
1373,19
1374,20
1375,19
1376,20
1377,19
1378,20
1379,19
1380,19
1381,18
1382,19
1383,19
1384,19
1385,18
1386,19
1387,18
1388,20
1389,20
1390,20
1391,18
1392,19
1393,18
1394,20
1395,19
1396,20
1397,19
1398,19
1399,19
1400,18
1401,20
1402,17
1403,20
1404,20
1405,19
