# 1-args	3-args	5-args	8-args	9-args 
1892.122570	1989.115450	1963.877040	1977.164874	1996.785203
1902.924467	1971.964293	1979.736284	1964.408214	1884.440347
1874.191489	1978.816052	1971.186490	1891.381904	2024.737266
1967.148264	1987.241061	2000.604712	1939.260127	1882.292075
1971.431920	1977.685129	1989.360967	1962.298643	1891.615294
1992.185178	1964.621079	1994.212358	1888.899825	1907.642556
1894.994737	1978.597317	1964.456729	1962.024486	1968.959832
1982.598139	1998.318798	1978.143808	1871.481821	1968.466260
1877.202519	1968.548212	1894.788004	1957.104059	1882.153764
1988.346590	1982.958759	1896.242774	1862.314830	2013.328488
1988.012930	1972.451778	1874.772619	1952.689857	1929.482058

